,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
426,42,Corto de animación 2D que representa el amor incondicional que se tiene por la familia.,30000,Cygnus: La última estrella,Exitoso,Queretaro de Arteaga,31754,Irery Santibáñez Valdez,Cine y video
427,41,"Your support will help us transport Graficomovil from El Paso, TX. to Michoacán and pay for a year of public  art programming.",180000,Bring Graficomovil Home,Fallido,Michoacan de Ocampo,68445,Artemio Rodriguez,Arte
428,41,"Nuestro próximo disco ""Árbol""",50000,"""Árbol"" nuestro nuevo disco",Exitoso,Baja California,50818,Colores Santos,Música
429,41,"¡Vamos por la Mezcla y la Maquila!\r
Ya hemos grabado los doce temas, ahora pedimos tu contribución para tener el disco físico.",45000,Angeles Pacheco´s Band/ Ahora,Exitoso,Distrito Federal,50650,Angeles Pacheco´s Band,Música
430,41,Cauce es un cortometraje sobre cómo una madre sobrelleva el duelo después de la muerte de su hija menor.,43500,CAUCE,Exitoso,Michoacan de Ocampo,46068,Diego Nanook Chávez Elizalde,Cine y video
431,41,¿Sabes silbar? Una obra de Teatro para niños y abuelos,25000,¡Y para mi siguiente truco...!,Exitoso,Distrito Federal,35469,Mario Heras,Teatro
432,41,Una historia que pone voz y rostro al sueño americano. / A story that gives voice and face to the american dream.,30000,Final Feliz / Happy Ending - Cortometraje / Shortfilm,Exitoso,Baja California,35447,Bettina Acedo Moreno,Cine y video
433,41,Composiciones para Ensamble de Contrabajos basadas en rasgos culturales de México,22000,TOLO LOCH Mushamukas / 1er Disco,Exitoso,Guanajuato,32516,Rodrigo Mata Alvarez,Música
434,41,Cortometraje documental seleccionado en el concurso de Identidad y Pertenencia del Festival Internacional de Cine de Guanajuato.,30000,TOCI documental,Exitoso,Guanajuato,31006,Andrea Alvarado,Cine y video
435,41,Proyecto teatral que investiga una pluralidad de significados del ser mujer a partir de los vuelos de mujeres reales y ficticias.,26500,Mujeres Pájaro: Crónicas de vuelo,Exitoso,Distrito Federal,28300,Mujeres Pájaro,Teatro
436,41,"Cortometraje acerca de la pérdida, la cercanía y la humanidad. \r
Shortfilm about grief, affection and humankind.",25000,Cien por ciento - cortometraje,Exitoso,Baja California,27203,Norma Lamadrid,Cine y video
437,41,"Estamos recaudando fondos para imprimir la Novela Gráfica ""Niña Piñata"" a todo color, encuadernando ejemplares a mano por cuenta propia",20000,"Impresión ""Niña Piñata""",Exitoso,Mexico,22760,Joshua Hernandez,Cómic
438,41,"Creation of 3d figures for board games, ready to print. stl files Fantasy Monsters, Mecha, SWF & NSFW. Wargames, Tabletop, Wargames.",10000,Boss Mixed Monsters 3d Printable War-Games.,Exitoso,Baja California,22078,Juan Lerma,Juegos
439,41,Obra de teatro para jovenes audiencias que aborda el tema de niñas y niños migrantes,45000,"Fantasmitas, cinco sueños regresando al sur",Fallido,Baja California,20119,Fantasmitas,Teatro
440,41,"Cómic spin-off de drama y aventura, desarrollado en un universo steampunk y gótico llamado Ellyllum.",13300,Las Bocas de Belcebú - Cómic,Exitoso,Mexico,15301,Tkrmz,Cómic
441,41,Cortometraje estudiantil,12000,Los anónimos,Exitoso,Baja California,12268,Ernesto Jaime,Cine y video
442,41,Cortometraje de thriller psicológico . Que plantea como la violencia de genero puede desarrollarse en esquizofrenia.,10000,Golpes en mi puerta,Exitoso,Baja California,11600,Alicia Quinonez,Cine y video
443,40,Soy una cantautora-pianista mexicana y quiero llevar mi música a tierras Colombianas. Les pido su apoyo para lograr este sueño.,100000,Adryana Marroquín - Primera Gira Internacional a Colombia,Exitoso,Distrito Federal,101200,Adryana Marroquin,Música
444,40,Somos una banda de la CDMX que incorpora distintos géneros musicales sumando un elemento bilingüe. Dos hermanos. Una ciudad. Una voz.,100000,Never Seen Autumn - EP,Exitoso,Distrito Federal,101086,Never Seen Autumn,Música
445,40,"Cortometraje de ficción del Centro de Capacitación Cinematográfica, filmado en 35 mm",70000,TIERRA Cortometraje,Exitoso,Mexico,70538,Carolina Caballero,Cine y video
446,40,"LOS INQUILINOS somos un proyecto musical de la Ciudad de México que mezcla diversos géneros musicales, constituido desde hace 5 años.",65000,Paseo en Bici (videoclip),Exitoso,Distrito Federal,69920,Rubén Enrique Miranda Santos,Música
447,40,"A narrative Artbook about an other side of boys sexuality, desires and identity",60000,Boys of the Night - narrative Boys Love artbook,Exitoso,Baja California,69518,Dacachi Fujino,Cómic
448,40,Cortometraje de tesis de Elena Guerra Cuéllar alumna de cine en CENTRO. Una historia de amor en las entrañas de la Ciudad de México.,50000,LO COMPLICADO - CORTOMETRAJE,Exitoso,Distrito Federal,51310,Elena Guerra,Cine y video
449,40,"Cortometraje de titulación que cuenta la historia de Carmen, una niña de 15 años que decide romper todas las reglas para volverse punk.",40000,No hables con la boca punk,Exitoso,Distrito Federal,42058,Thelma Ruiz,Cine y video
450,40,Cortometraje de ficción sobre una relación disruptiva entre padre e hijo que se producirá en el municipio de Salamanca.,30000,SIGILO Short Film,Exitoso,Guanajuato,35340,Lorena De Blas P,Cine y video
451,40,Luna le tiene fobia a las vacas... pero ella misma muge cuando siente placer.,27000,Mu - cortometraje,Exitoso,Distrito Federal,29500,Natalia Cabello Stellino,Cine y video
452,40,A collection of merchandise set in different fairy tales. The designs include Thor and Captain America characters as well as originals.,25000,"Fairy Tales in Wonderland, a collection quickstarter",Exitoso,Nuevo Leon,28128,GYRHS,Arte
453,40,"VI Muestra Internacional de Cine Independiente; espacio de exhibición,  diálogo y encuentro para realizadores audiovisuales.",20000,Oftálmica 2018,Exitoso,Veracruz-Llave,20473,Oftálmica Cine,Cine y video
454,40,"Libro enfocado en el crecimiento personal, liderazgo, plenitud y cambio, para Transformarnos a nosotros mismos en nuestra mejor versión",8000,"El Libro ""La Transformación NO tolera la mediocridad""",Exitoso,Baja California,10730,Alejandro Cruz,Editorial
455,39,"Cortometraje que participa en la selección oficial del rally universitario GIFF.
""PEPE Co"". Es creado por estudiantes de la UAA",90000,"""PEPE Co."" Shortfilm",Exitoso,Aguascalientes,91652,Carlos Romo,Cine y video
456,39,"Tesis Fílmica del Centro Universitario de Estudios Cinematográficos. Proyecto que busca ser filmado en las calles de Tokio, Japón.",60000,LOS CUERPOS QUE SE APAGAN/消える体,Exitoso,Distrito Federal,63663,Ximena Mont Suá,Cine y video
457,39,"Una obra que impulsa a contactar nuestras emociones oscuras y enfrentarlas en la lucha, contra uno mismo, que se libra día con día.",60000,El Lado Oscuro Del Mar LP,Exitoso,Nuevo Leon,60838,Rap De Luz,Música
458,39,The animated channel created by and for furries from all around the world.,35000,MurrrTV,Exitoso,Distrito Federal,38260,MurrrTV,Cine y video
459,39,"We improve the quality of life in Oaxacan artisans, through courses and workshops",35000,Creating Miracles... Textiles (Creando Milagros...Textiles),Exitoso,Oaxaca,38220,Hilda Xitlalic López Mendez,Artesanía
460,39,"Una historia que nos muestra el estado de depresión profunda y angustia que ha roto una familia y, por lo tanto, un matrimonio.",38000,Cortometraje | El peso de mi cruz,Exitoso,Queretaro de Arteaga,38167,Marco Jiménez,Cine y video
461,39,Centro Cultural,150000,El Huizache,Fallido,Guanajuato,32927,Miguel Tierrafría,Arte
462,39,Manko y el mundo de los espíritus es una novela de ficción inspirada en mi viaje por Sudamérica.,30000,Manko y el mundo de los espíritus,Exitoso,Baja California,30293,David Calderon,Editorial
463,39,"Videoclip oficial del nuevo sencillo de la banda de mexicana, Terror Culero.",25000,Terror Culero Videoclip Oficial.,Exitoso,Baja California,26258,Terror Culero,Cine y video
464,38,A story to Marta´s memories of Chicago during the 1970´s when latino communities joined forces to have the right to higher education.,200000,Marta,Exitoso,Nuevo Leon,200783,Irma Saucedo González,Cine y video
465,38,Inmóvil es un thriller psicológico que retrata la decadencia de un hombre como consecuencia de su pasado.,120000,Inmóvil | Short Film (LiveAction),Exitoso,Baja California,123370,Nuclear Cinema,Cine y video
466,38,Recaudamos fondos para  nuestro octavo disco Un blues en la penumbra/ We are funding for our 8th album A blues in the gloom,60000,New CD Un blues en la penumbra/Tere Estrada,Exitoso,Distrito Federal,68790,Tere Estrada,Música
467,38,Selected script for participate on the Guanajuato International Film Festival`s Rally Universitario 2018,60000,"""MUTE"" Shortfilm",Exitoso,Nayarit,63824,MUTE Shortfilm,Cine y video
468,38,"Verónica, una artista en decadencia, hará lo que sea con tal de pintar una obra con el color más perfecto: el rojo de la sangre humana.",52600,ROJO,Exitoso,Distrito Federal,58768,Andrea Gaytán Tassier,Cine y video
469,38,Sistema de macetas a muro de ceramica esmaltada / Wall ceramic planter system,38774,CETONIA,Exitoso,Baja California,46015,Alberto Paulin,Arte
470,38,"Un libro de cuentos de terror con un toque fantástico y crítico, aborda un trasfondo cultural de la sociedad representado en monstruos.",40000,"Publicación de libro: ""Lapsus. Bestias del tiempo perdido""",Exitoso,San Luis Potosi,41371,Elliott,Editorial
471,38,Cortometraje de ficción,40000,La niña y el cráneo,Exitoso,Baja California,40618,DJ,Cine y video
472,38,Cortometraje para titulación en Estudios Cinematográficos en UAEMéx,30000,El Color del Cielo - Cortometraje Tesis UAEMéx.,Exitoso,Baja California,30850,Brenda Angélica Monge Palacios,Cine y video
473,38,Un cortometraje fantástico que te llevará a vivir un viaje tan divertido como oscuro y honesto.,30000,Pastel de Cumpleaños,Exitoso,Distrito Federal,30000,Víctor Mar,Cine y video
474,38,Hay veces que es necesario un encierro para poder aprender a soltar.,27000,Te lo digo así porque no encontré mejor forma para hacerlo,Exitoso,Distrito Federal,28850,Te lo digo asi...,Cine y video
475,38,Estamos apunto de graduarnos con esta puesta en escena y con tu ayuda lograremos que esta producción se haga realidad.,20000,El Balcón de Jean Genet Dir. Martín Acosta CasAzul 2017,Exitoso,Distrito Federal,23090,Catástrofe Teatro,Teatro
476,38,Cono o envase para helado tamaño familiar (1/2 lt.) con cuchara. / Ceramic ice cream bowl family size (1/2lt.) with spoon.,24200,Barquillo - envase de cerámica para helado / ice cream bowl,Fallido,Baja California,19277,Mariana Solis E,Artesanía
477,38,"Libro infantil hecho en colaboración con los niños, niñas y adolescentes de la comunidad de San Juan de Ocotán.",18000,Libro: Kokone habla.,Exitoso,Jalisco,18301,Enrique Juarez G,Editorial
478,38,"Campaña Oficial de Fractal Dimension.
Chronos / New Album 2019.",30000,Fractal Dimension: Chronos - Nuevo Albúm 2019.,Fallido,Jalisco,12518,Eddie Warboy,Música
479,38,"Memorias de nómada es una revista de arte, cultura y literatura de Mérida, Yucatán, difundimos el talento local de la ciudad.",5000,Revista Memorias de Nómada,Exitoso,Yucatan,6400,Katia Rejón,Editorial
480,37,"En Pimperl integramos arte en prendas sustentables y de estilo único, fomentando el comercio justo.",100000,Obertura: Vistiendo un mundo con arte,Exitoso,Distrito Federal,100840,Pimperl,Arte
481,37,Haré el retrato de TODOS los que apoyen el proyecto hechos con una sola línea / I'll do the portraits of everyone that funds!!!,70000,retratAthe,Exitoso,Baja California,72025,Athenea Papacostas Villegas,Arte
482,37,"Desde pequeño siempre quise escribir un libro, poder transmitir un mensaje limpio, fuerte y claro para las generaciones.",53000,"¡Mi Primer Libro! ""Caballero"" Una novela con un gran mensaje",Exitoso,Baja California,55996,Uziel Espinoza,Editorial
483,37,"Producción y maquila de LP del primer disco del colectivo ""Telgopor""",50000,"Telgopor presenta su primer álbum ""Regresar al Naufragio""",Exitoso,Distrito Federal,53568,Kerygma larrazabal,Música
484,37,"La tercera entrega de la serie antológica ""Narraciones Destiladas"". Ahora con un toque animal.",60000,Narraciones Destiladas: Bestiario,En curso,Jalisco,42638,Jorge Haro,Editorial
485,37,Handmade mexican toys inspired by Frida Kahlo,35000,Make 100 | Frida Kahlo Art Toy,Exitoso,Puebla,38670,Quetzalcolor,Artesanía
486,37,"Documentary film about female Wrestling, Who were the precursors? Who are its protagonists? and how is the circuit currently.",35000,La Femenil / The Women's Arena,Exitoso,Nuevo Leon,36478,La Femenil,Cine y video
487,37,"Mi tesis fílmica de la ENAC (Antes CUEC)  titulada ""4:33"". Hemos olvidado escuchar y si uno no escucha, no puede cambiar su mundo.",30000,"""4:33"" Cortometraje de titulación de la ENAC",Exitoso,Baja California,36156,Alex Ortega,Cine y video
488,37,Cortometraje. Una historia sobre el deterioro de la fibra familiar.,30000,JOCASTA l Cortometraje l,Exitoso,Baja California,33830,JOCASTA,Cine y video
489,37,"An expedition where the Earth and the Sun coincide... an art work to meet the center, a universe and a present time",170000,Projects of Earth: Expedition to the center. (Canceled),Cancelado,Distrito Federal,29850,Ale de la Puente,Arte
490,37,"Un cortometraje de tesis que es un western contemporáneo. Sucede en el desierto de San Luis Potosí. A thesis shortfilm, a western.",25500,"Una sombra de barro, corto",Exitoso,Distrito Federal,27618,Salvador Reyes Zúñiga,Cine y video
491,37,Nuevo álbum de Umbra Alba,39700,MAR Y FUEGO.,Fallido,Distrito Federal,17418,Umbra Alba,Música
492,36,Thank you for helping us reach our goal! Now we're stretching to $6K for the final leg of the journey home to Black Rock City!,50000,Support the MAXA XAMAN art car´s journey to Burning Man!,Exitoso,Baja California,96448,Liora,Arte
493,36,"Cabo y un Capitán, dos soldados villistas, tratan de salvarse tras la invasión de Columbus en 1916, durante la Revolución Mexicana.",65000,Los Muertos de Columbus // The Dead of Columbus,Exitoso,Distrito Federal,65247,Diego Jaime Cohen,Cine y video
494,36,Cortometraje de titulación sobre el amor en tiempos modernos.,60000,ALTER,Exitoso,Distrito Federal,60613,Laura Tlacomulco,Cine y video
495,36,Cortometraje Documental que participa en el Festival Internacional de Cine de Guanajuato (GIFF) 2019.,60000,Pólvora - Documentary Short Film,Exitoso,Guanajuato,60028,Pólvora Documental,Cine y video
496,36,"Cortometraje de Tesis del CUEC, la escuela de cine de la UNAM.\r
Con este proyecto se concluye la etapa académica de una generación.",50000,Ayer y mañana - Cortometraje CUEC,Exitoso,Distrito Federal,57435,Diego Cruz Cilveti,Cine y video
497,36,"Become a Hollo Buster and clear the Hollo infestation in this Pacapillar puzzle videogame for PC, iOS and Android!",39683,Hollo Buster - A Pacapillar Videogame,Exitoso,Baja California,56720,Cathalla,Juegos
498,36,El inició del road trip de tres morros que quieren escapar a la playa después de que reciben un caro e ilegal regalo,35000,Nacimos para caminar descalzos,Exitoso,Distrito Federal,37168,Oscar Evaristo Bedriñana García,Cine y video
499,36,Un nuevo cortometraje de stop-motion.,17000,VERA,Exitoso,Distrito Federal,26638,Julia Carral,Cine y video
500,36,"Tap es un cortometraje sobre ese primer amor, dulce, ingenuo, eterno; y que la  juventud y la insensatez nos arrebataron para siempre.",25000,TAP,Exitoso,Distrito Federal,25269,Axel Salas,Cine y video
501,36,"Preventa de la segunda producción discográfica de DelDesierto, titulada Tlamanalli (Ofrenda). Ayudanos y se parte de este nuevo álbum.",20000,Tlamanalli 2da. Producción Discográfica de DelDesierto,Exitoso,San Luis Potosi,24097,Marco Tulio Ramírez Torres,Música
502,36,"Frantic shoot em up with retro style and funny characters, ridiculous invaders and explosions everywhere",12666,Q-YO BLASTER game,Exitoso,Puebla,14658,Team Robot Black Hat,Juegos
503,36,Un libro ilustrado que nos narra a través de un recorrido biográfico la vida y obra de esta mujer defensora de los derechos de la mujer,60000,"""Simone de Beauvoir"" Libro Ilustrado/Picture Book",Fallido,Distrito Federal,13748,Salvador Rojo,Editorial
504,36,One Hard Enamel pin of the not-famous yet cutest in town Wizard Cat,5000,Wizard Cat Enamel Pin,Exitoso,Quintana Roo,13100,Isabel Rivera,Arte
505,35,Comedia de horror filmada en 35 milímetros que cuenta la historia de Olivia y el pacto de amor eterno hecho con su difunto novio.,55000,Perros Muertos,Exitoso,Distrito Federal,90230,Mariana Lavaniegos,Cine y video
506,35,"Hop! Hop! Diablo Funk banda mexicana independiente. La música es nuestra pasión y parte de nuestras vidas, ¡Vivimos por y para ella!",77000,Are You Ready O Qué?,Exitoso,Baja California,80391,Hop! Hop! Diablo Funk,Música
507,35,"National Pastime, El Musical, México,  es una puesta en escena de Albert Tapper y Tony Sportiello, bajo la dirección de Mauricio Cedeño",50000,"National Pastime, El Musical, México",Exitoso,Baja California,53000,Avión de papel,Teatro
508,35,"Es la historia de Emilia, quien acaba de pasar por una separación dolorosa y recibe una llamada en búsqueda de empatía y ayuda anónima.",45000,Acaso Silencio,Exitoso,Distrito Federal,51100,Carlos Arturo Mendoza Márquez,Cine y video
509,35,Serie fotográfica documental que aborda la cotidianidad y cultura en los ranchos Sudcalifornianos a través de un fotolibro.,50000,Libro Cerca de la Tierra,Exitoso,Baja California Sur,50928,Elizabeth Moreno Damm,Fotografía
510,35,"Ceramic vase to make known one of the endemic species of Mexico City, the Biznaguita of Pedregal.",27000,Haagea,Exitoso,Distrito Federal,36868,Marlon Millán / Oscar Gutiérrez,Artesanía
511,35,Una tetera de barro rojo inspirada en las abejas y sus colmenas.,30000,Apis Teapot,Exitoso,Distrito Federal,31286,Fernando Aldama,Artesanía
512,35,Devil's Hour is an anthology series of horror and science fiction stories.,30000,Hora Infernal Webseries,Exitoso,Baja California,30610,Alfredo Hernandez Alvarez,Cine y video
513,35,Competencia entre 6 actores que buscan ganar puntos para sobrevivir al montaje. Una obra donde el público tiene el poder de decidir.,25000,Proyecto Sobrevivir,Exitoso,Baja California,26750,Tramando Teatro,Teatro
514,35,"What's your hidden power? 

*Pin Collection*",11750,Forest Masquerade Enamel Pins,Exitoso,Distrito Federal,14122,Ella Gud,Arte
515,34,"Un cortometraje universitario, que muestra la depresión y ansiedad del secuestro.",50000,"Cortometraje ""Limbo""",Exitoso,Baja California,55550,Alfredo Arroyo Barra,Cine y video
516,34,"Horfinson Crusoe: Un viaje sin fronteras, más allá de la música y lo convencional.",50000,"Mr. Bongoe // 3er Álbum De Estudio - ""Horfinson Crusoe""",Exitoso,Baja California,53500,Alejandro De la Fuente,Música
517,34,"La manera en la que la sociedad, o el entorno, nos define como personas. / The way society and our environment define who we are.",35000,"La Iniciación ( cortometraje, shortfilm)",Exitoso,Distrito Federal,36000,Sebastián Sedas,Cine y video
518,34,"Vangal: Tora's music video // Vangal: Videoclip del sencillo ""Tora""",35000,Vangal: Making the video of TORA,Exitoso,Baja California,35750,Vangal,Música
519,34,Cortometraje de comedia sobre las desventuras de una familia que atraviesa la sierra queretana para llegar a una ceremonia Maya,35000,Los Aparicio cortometraje,Exitoso,Queretaro de Arteaga,35000,Estefanía González Herrera,Cine y video
520,34,"El Llano is a documentary, based on the life of two artisan women originating from San Francisco Del Rincon, Guanajuato.",30000,El Llano - Documental / Shortfilm,Exitoso,Guanajuato,31854,El llano,Cine y video
521,34,An independent non-profit project for Contemporary Art in Mexico City. Help us reach our 3th anniversary!,30000,PROGRESO Artist-Run Space,Exitoso,Distrito Federal,30036,Aldo Iram Juárez,Arte
522,34,Dos hermanos zapateros dejan el oficio para dedicarse a su verdadera pasión y darle color a una ciudad industrial.,30000,León es como lo pintan - Documentary Short Film,Exitoso,Guanajuato,30000,Luz Valeria Fuentes Ávila,Cine y video
523,34,"Un cortometraje de adaptación de ""El Híbrido"" de Franz Kafka.",25000,MÍA - CORTOMETRAJE,Exitoso,Baja California,26068,Sebastian Masso,Cine y video
524,34,An Spec Ops team was sent to a planet to investigate a disappearance of a research team. What lies beneath this god-forsaken planet?,10000,Paradise Lost: FPS Survival Cosmic Horror Game,Exitoso,Campeche,20200,JUAN ENRIQUE PEDRAZA REJON,Juegos
525,34,"The project will be an action rpg based on the Viking's history and mythology, combined with fantasy style.",1000,RAGNAROK: The beginning of a new Age,Exitoso,Guanajuato,8428,Adrián Tomé Rodríguez,Juegos
526,33,La 1ra serie web latina de ciencia ficción en 6k; Leopoldo Bassol tiene que recuperar ALTER antes de que se desate el nuevo holocausto.,350000,SERIE ALTER,Exitoso,Distrito Federal,350170,Carlos Cuevas,Cine y video
527,33,"Un nuevo álbum para elevar el rezo, sanar e inspirar / A new album to elevate prayer, heal and inspire",77000,Música Medicina con el corazón/Medicine Music with the heart,Exitoso,Jalisco,80526,Alkimiya Sagrada,Música
528,33,Uno de los 6 cortos finalistas en el GIFF Rally Universitario 2019.,60000,Perspectivas Shortfilm,Exitoso,Guanajuato,60418,UNID SLP,Cine y video
529,33,"Cortometraje de ciencia ficción, que aborda el experimento del gato de Schrödinger.",47000,Cincuenta Cincuenta,Exitoso,Distrito Federal,57748,Carlos Gallego,Cine y video
530,33,Cortometraje,50000,La Lluvia De Los Hombres Respetables,Exitoso,Distrito Federal,51748,Manuel Alacid,Cine y video
531,33,"""JAUTULIB-INDIERD"" de Misael Garrido, es una obra de teatro para toda la familia que trata el tema del cambio climático.",40000,"""JAUTULIB-INDIERD""",Exitoso,Distrito Federal,41988,Fuera de órbita,Arte
532,33,Un festival público de poesía en la CDMX.,40000,LA FIESTA DE LA VÍRGULA FLORIDA 2019,Exitoso,Hidalgo,40761,Francisco David Méndez Manzo,Editorial
533,33,Alcancia cerámica que toma como insparacion el Axolotl/ Ceramic container based in the Axolotl.,35000,Axolo-chito Contenedor de ahorros para futuros sueños,Exitoso,Baja California,39012,Bebay González Millan,Artesanía
534,33,"Queremos acabar la post-producción de Toda la luz que podemos ver, un largometraje de la cooperativa ríos de Nueva.",33000,Toda la luz que podemos ver,En curso,Baja California,38756,ríos de Nueva,Cine y video
535,33,"Primer disco de AryaTara/ AryaTara first record.\r
\r
Compuesto por diez temas originales, compuesto por los cuatro integrantes.",35000,Primer disco de AryaTara/ AryaTara first record,Exitoso,Baja California,36778,AryaTara - Primer disco.,Música
536,33,"'Los humores en estío' es un cortometraje de tesis sobre la enfermedad, el reposo y los sueños de juventud.",34000,Los humores en estío,Exitoso,Distrito Federal,36600,Billy Ortega Eichelmann,Cine y video
537,33,Hello! We are a group of 22 artists enthusiast who gathered together to create a Touken Ranbu Online fanbook.,30000,Touken Ranbu Collaborative Fanbook,Exitoso,Baja California,32678,Touken Ranbu Collaborative Fanbook,Arte
538,33,"Un cortometraje acerca del suicidio, visto desde los ojos de una trabajadora de limpieza",30000,Los Espejos Rotos,Exitoso,Distrito Federal,30950,Jimena Donají Teacalco Mancera,Cine y video
539,33,"Disco que incluye 10 temas de rock en español de los 80s, 90s, versionados a electropop, con la participación de 2 artistas invitados",30000,Axel Sánchez - Maligno (Género: Electropop),Exitoso,Distrito Federal,30700,Axel Sánchez,Música
540,33,"A photobook compiling some of the best travel photographs by The Arcae Project, from a 3 year journey around the world.",40000,Estuve Aquí: Un recorrido visual desde México hasta Vietnam,Fallido,Sonora,27250,Sergio Camalich,Fotografía
541,33,"Colección de cuentos ilustrados para chicos y grandes, pero sobre todo, para adultos que se niegan a olvidar que un día fueron niños.",16000,Huellas de miel,Exitoso,Distrito Federal,19690,LibrObjeto Editorial,Editorial
542,33,"""El Niño Zorro y el Misterio de los Girasoles"" Is an interactive book for children (for tablets and smartphones) with cool activities.",148338,El Niño Zorro - Interactive Children Book,Fallido,San Luis Potosi,14460,Tomogo,Juegos
543,33,"Howdy, Im Isabel Rivera and I want to be an illustration youtuber, I want to exchange my artistic skills so I can afford a camera",2000,Help me become an illustration youtuber,Exitoso,Quintana Roo,10070,Isabel Rivera,Arte
544,33,¡El festival y concurso que hace homenaje a los mejores intérpretes de la Guitarra Eléctrica llega a la Ciudad de México!,100000,Sibelius Fest México - Michael Angelo Batio y Charlie Parra,Fallido,Distrito Federal,8516,Enrique Ibarra,Música
545,32,Cortometraje de Tesis del Centro de Capacitación Cinematográfica,65000,Makam Maj,Exitoso,Distrito Federal,70598,Sofía Ptacnik,Cine y video
546,32,Queremos realizar cuatro cursos especiales y gratuitos en materia de la obra de la escritora objetivista Ayn Rand,40000,Ayudanos a crear Cursos gratuitos de Ayn Rand para jóvenes,Exitoso,Mexico,48668,Alma Islas,Editorial
547,32,"""Creer que el amor puede ser posible, detona la tragedia en el destino de tres seres vulnerables a quienes nunca les enseñaron a amar""",35000,"""JULIA"" de A. Strindberg. ÓPERA PRIMA de MaKa Teatro.",Exitoso,Baja California,37300,Marcia Uruchurtu,Teatro
548,32,Exclusiva colección conmemorativa de cinco libros de liderazgo para celebrar 15 años como autor especializado en el tema.,25000,Colección Conmemorativa de Liderazgo (2002-2017),Exitoso,Distrito Federal,36900,José Manuel Vega Báez,Editorial
549,32,"Living hidden in a house among a forest, the day of her birthday, Sandra unhappily married, meets Pandora.",25000,Pandora,Exitoso,Veracruz-Llave,29050,Alfredo Hernandez Alvarez,Cine y video
550,32,Experiences and ideas embodied in a unique journal created for and by you.,145000,My Bicycle Trips,Fallido,Distrito Federal,25993,Jordi Manvi,Artesanía
551,32,15 días en 15 fotografías,25000,PANDEMIA by H2Oscar Fotografía,Exitoso,Distrito Federal,25013,Oscar Hernández,Fotografía
552,32,Cortometraje de ficción del CUEC-UNAM que explora lo que se llega a sentir cuando una persona se enferma de ansiedad.,25000,Nadie finge el espasmo.,Exitoso,Distrito Federal,25000,Mónica Burciaga,Cine y video
553,32,Cortometraje de animación. Ayúdanos a convertir música en espacios virtuales. SciFi 360 Video and VR Experience about life after death.,23000,"Pristine Lane, Virtual Reality Afterlife Experience",Exitoso,Baja California,24341,Dorian Rodríguez,Cine y video
554,32,PUESTA EN ESCENA FINAL PARA TITULACIÓN DE LA 7° GEN. LIC. EN ARTES ESCÉNICAS ACTUACIÓN DE LA UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES.,20000,#ANTÍGONA,Exitoso,Aguascalientes,21464,KAREN ITHAÍ MONTELLANO MOLINA,Teatro
555,32,"WOULD YOU LIKE TO BE AN HENT4I ILLUSTRATOR? Become one without dying in the attempt in a fun way !\r
INCUYE: Galleries and  MORE",3000,COOK BOOK OF ILLUSTRATOR HENT4I,Exitoso,Baja California,20745,HOTARU CHAN,Cómic
556,32,Al Otro Lado es un cortometraje estudiantil de pre-tesis que se llevara acabo en Xalapa. RECUERDA INTRODUCIR CORRECTAMENTE TU CORREO.,19000,Al Otro Lado,Exitoso,Veracruz-Llave,19200,Mariana Letayf R.,Cine y video
557,32,Ensayo filosófico sobre el amor que parte de la constitución triádica del ser y los tipos de conexiones.,15000,El sincretismo del amor,Exitoso,Jalisco,15220,Emmanuel Montoya,Editorial
558,31,"Cuenta la historia de Alexis, un niño que nació en un ritual de brujas nativas y debe enfrentarse a él mismo para concluir el ritual.",100000,NARAN,Exitoso,Baja California,102350,NARAN,Cine y video
559,31,"An Epic Fantasy tale that bring us to the prelude of a war between two deities, and the effort of a group of warriors to stop it.",80000,Tarquius: Relatos de un mundo eterno,Exitoso,Distrito Federal,81100,Miuko L. Barragán,Editorial
560,31,"We love our country, believe in fair trade, in entrepreneurship through art,be part of us to go abroad and fulfill our mission.",128000,Kosoli Arte Popular Mexicano -Mexican Handcraft Art,Fallido,Puebla,78050,KOSOLI,Artesanía
561,31,¡Hola! Soy músico de Jazz.  Actualmente cuento con una beca para estudiar en Berklee College of Music.  ¡Ayúdame a fondear mis sueños!,70000,"Crowdfunding, Paulina Mercado",Exitoso,Baja California,71000,Paulina Mercado,Música
562,31,"Xul es el punto de vista de Natalia, una niña de seis años que tiene un problema óptico, su vista está fragmentada.",50000,Xul / Cortometraje,Exitoso,Distrito Federal,60750,Uxbal Ramírez,Cine y video
563,31,Somos un proyecto que combina la eduación y el arte a través de talleres e intervenciones. Promovemos la noción y acción comunitaria.,55000,Educación Intermedia,Exitoso,Distrito Federal,55813,Educación Intermedia,Arte
564,31,Un cortometraje CUEC-UNAM (ENAC) en 35 mm sobre lo ideal contra lo real.,30000,Hochspannungsleitungen o Líneas de alta tensión,Exitoso,Distrito Federal,30000,Vicente Méndez Saucedo,Cine y video
565,31,"Videoclip musical para sencillo del artista Pønce. Fantasma, es el tercer sencillo de su próximo disco titulado ""FVEGO"".",30000,"Videoclip de PØNCE para su nuevo single ""Fantasma""",Exitoso,Distrito Federal,30000,Leonardo Ponce,Cine y video
