,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
810,BOM,Christian Boeneker,Fallido,Distrito Federal,Bass Over Matter Album Project,bass matter album project,['bass matter album'],11922,128400,16,Música
811,Ruperto (Canceled),Ruperto cortometraje,Cancelado,Coahuila de Zaragoza,"Un cortometraje que narra la historia de Ruperto, quien acaba de descubrir que los robots analógicos como él, dejarán de funcionar",cortometraje narra historia ruperto acaba descubrir robots analógicos dejarán funcionar,"['narra', 'dejaran', 'analogicos']",10343,80000,16,Cine y video
812,Doggo Love Enamel Pin,Isabel Rivera,Exitoso,Quintana Roo,Doggo love Enamel pin,doggo love enamel pin,['pin'],7000,7000,16,Arte
813,EGO & WARNEROS,Ego & Warneros,Fallido,Distrito Federal,Producción musical de EGO & WARNEROS,producción musical ego warneros,['warneros'],6018,125000,16,Música
814,Puntié,Mariana Palma,Fallido,Yucatan,Puntié son punteras de ballet interactivas que ayudan a las bailarinas principiantes a lograr una postura correcta sobre las puntas.,puntié punteras ballet interactivas ayudan bailarinas principiantes lograr postura correcta puntas,"['punteras', 'postura correcta']",6000,400000,16,Editorial
815,7 Lives,Jorman Fernandez,Exitoso,Veracruz-Llave,7 Lives is an intriguing Visual Novel that follows the lives of two people who has to bear the weight of time on their shoulders,lives intriguing visual novel follows lives two people bear weight time shoulders,['bear weight time'],3405,2900,16,Juegos
816,The Man: At the Gates of the Rising Sun,Gabriel Doramé Ceceña,Exitoso,Distrito Federal,"Terminamos esta ópera prima independiente y nos confirmaron exhibición en cines por 2 semanas este mes!\r
A un paso de lograrlo...",terminamos ópera prima independiente confirmaron exhibición cines semanas mesr paso lograrlo,"['paso', 'opera prima']",32000,32000,15,Cine y video
817,"Agnosis Si puedes ver, transforma / If you see, transform (Canceled)",Bernardo Aja,Cancelado,Distrito Federal,"Agnosis, difunde fotografías y videos de temas en torno a los derechos humanos, víctimas y justicia; con el objetivo de sensibilizar.",agnosis difunde fotografías videos temas torno derechos humanos víctimas justicia objetivo sensibilizar,"['difunde', 'justicia objetivo']",29450,350000,15,Fotografía
818,Artur - Película thriller en vivo por redes sociales,Jorge,Fallido,Baja California,Un thriller filmado en plano secuencia y transmitido en vivo por redes sociales.,thriller filmado plano secuencia transmitido vivo redes sociales,"['filmado', 'vivo redes']",26868,216268,15,Cine y video
819,Lucía desde el espacio,Vacío Media,Exitoso,Puebla,"Cortometraje de ficción que narra la desaparición de una joven en México, desde la perspectiva su hermano de siete años.",cortometraje ficción narra desaparición joven méxico perspectiva hermano siete años,"['ficcion', 'hermano siete']",22800,22300,15,Cine y video
820,WEB HENT4I DEDICATED TO MY ART WITH TUTORIALS AND MY COMICS,HOTARU CHAN,Exitoso,Baja California,"HEY CHICOS here you can see my exclusive gallery and read my comics in your language, in addition to speedpaint videos and tutorials.",hey chicos see exclusive gallery read comics language addition speedpaint videos tutorials,"['videos', 'gallery read']",21000,3000,15,Cómic
821,"Dronámbulo El Musical, un espectáculo a ritmo de Rock y Pop",Dronámbulo El Musical,Fallido,Distrito Federal,"Dronámbulo es un espectáculo musical con jóvenes actores, que inspira  a recuperar el poder creador que llevamos en nuestro interior.",dronámbulo espectáculo musical jóvenes actores inspira recuperar poder creador llevamos interior,"['espectaculo', 'creador llevamos']",20618,350000,15,Teatro
822,"""Solos""",Diego Pérez Flores,Fallido,Distrito Federal,Cortometraje de animación 2D,cortometraje animación 2d,"['cortometraje', 'animacion']",15698,46000,15,Cine y video
823,"Revueltas, La Película - Revueltas, The Movie",Alfonso Antonio Jiménez Ramírez,Fallido,Queretaro de Arteaga,"Largometraje que mezcla el amor, aventura en tiempos actuales, revolución mexicana, producción de cine independiente y la corrupción",largometraje mezcla amor aventura tiempos actuales revolución mexicana producción cine independiente corrupción,"['independiente', 'mezcla amor']",11600,360000,15,Cine y video
824,La resurrección del Dr. Maldad,Laura F. Rabadán Cosío,Exitoso,Puebla,Cortometraje de animación en stopmotion de ficción,cortometraje animación stopmotion ficción,"['animacion stopmotion', 'ficcion']",10678,10000,15,Cine y video
825,Star notebook 2020,GYRHS,Exitoso,San Luis Potosi,A lovely limited edition notebook. An original handmade design.,lovely limited edition notebook original handmade design,"['limited', 'original handmade']",9448,8000,15,Diseño
826,Let's MAKE 100 illustrations on my Journal,GYRHS,Exitoso,Baja California,A new watercolor sketchbook filled with illustrations and sketchs.,new watercolor sketchbook filled illustrations sketchs,"['watercolor', 'filled illustrations']",9418,5000,15,Arte
827,Mítico Contra La Temible Soledad,Mat Kirchner,Fallido,Distrito Federal,La pelea del ser humano contra el ego.,pelea ser humano ego,['pelea ser humano'],8868,68017,15,Cine y video
828,Bloques Galácticos,Carlos Alberto Ornelas Gonzalez,Fallido,Baja California,"Bloques de la galaxia es una mini serie web de 10 capítulos por temporada, protagonizada por diferentes personajes de la saga",bloques galaxia mini serie web capítulos temporada protagonizada diferentes personajes saga,"['galaxia', 'diferentes personajes']",8069,15700,15,Cine y video
829,Los Tradicionales,Los Tradicionales,Fallido,Distrito Federal,"Somos una compañía de teatro independiente. Y en el 2017 queremos arrancar con el montaje de 3 obras.
3 elencos, 3 espacios.",compañía teatro independiente queremos arrancar montaje obras elencos espacios,"['teatro', 'obras elencos']",7500,38000,15,Teatro
830,Make 100: 100 Stickers (two artists),Nvbe,Exitoso,Queretaro de Arteaga,I love stickers!!!!! and i want to create 100 in a one presentation :),love stickers want create one presentation,['stickers want create'],7365,2000,15,Diseño
831,#PodcastBorracho necesita dinero,Carlos H. Mendoza,Exitoso,Campeche,9 años grabando por el gusto de mezclar micrófono y alcohol. Hoy somos emprendedores -Juum.fm- y no tenemos ni para el hosting. Help!,años grabando gusto mezclar micrófono alcohol hoy emprendedores juumfm hosting help,"['hosting', 'grabando gusto']",6496,3300,15,Editorial
832,Álbum conceptual de metal progresivo.,Juan Carlo Hermosillo Haro,Fallido,Jalisco,El segundo álbum de la banda mexicana de metal progresivo Imperious.,segundo álbum banda mexicana metal progresivo imperious,"['album', 'metal progresivo']",6090,20000,15,Música
833,Mexico creates - Painted stones for the Day of the Dead,Martha Mendiola,Exitoso,Distrito Federal,"Hand-painted stones for the Mexican celebration ""Day of the Dead"". Intended for ornamental use and to bring color to your home.",handpainted stones mexican celebration day dead intended ornamental use bring color home,"['stones', 'bring color']",5220,2500,15,Artesanía
834,Libro: Las cosas que (no) te dije,Mitzael Adán Abrego Garcia,Fallido,Coahuila de Zaragoza,Libro propio de nueva poesía,libro propio nueva poesía,['libro propio nueva'],4850,14000,15,Editorial
835,PACIFICA Revista - A complete guide to Mexico City,Marco Antonio Rodarte,Fallido,Distrito Federal,"A culture, art and lifestyle guide to Mexico City, dedicated to our friends all over the world.",culture art lifestyle guide mexico city dedicated friends world,"['friends', 'art lifestyle']",4470,453000,15,Editorial
836,Creación profesional de sencillo,Abe Aranda,Fallido,Nuevo Leon,Sencillo: Hallelujah - Abraham Aranda,sencillo hallelujah abraham aranda,['aranda'],3028,15000,15,Música
837,"CHECA en el ""ING CREATIVES""",miguel barragan,Fallido,Baja California,"Hola. Me invitaron a ser parte del ""ING CREATIVES"" que se llevara acabo el 13-12-13 de abril de este año. te invito a ser parte de esto",hola invitaron ser parte ing creatives llevara acabo abril año invito ser parte,"['invitaron ser', 'acabo']",2785,45000,15,Arte
838,Novela: Diré que Vendrás (Uruguay/Argentina),Luis Martín Vázquez,Exitoso,Nuevo Leon,Historia que narra el reencuentro de dos amigos sudamericanos tras unos años. Ella está loca por el fútbol y él está loco por ella.,historia narra reencuentro dos amigos sudamericanos tras años loca fútbol loco,"['futbol', 'narra reencuentro']",2543,1700,15,Editorial
839,"Jornada Cultural ""Los Verseros por la Paz""",Los Verseros de México,Fallido,Michoacan de Ocampo,"El grupo de música mexicana y folk latinoamericano Los Verseros, realizará una Jornada Cultural por la Paz en Zamora Michoacán MX.",grupo música mexicana folk latinoamericano verseros realizará jornada cultural paz zamora michoacán mx,"['zamora', 'musica mexicana']",18878,60000,14,Música
840,Rupturas Internas - Videoarte,Andrea Martín del Campo,Exitoso,Baja California,Un videoarte sobre los estereotipos y cómo influyen en quienes somos.,videoarte estereotipos cómo influyen,"['estereotipos', 'influyen']",17000,17000,14,Cine y video
841,HARU Álbum Debut de Visual Kei en español,Oscar Omar Nonell Ruiz,Exitoso,Distrito Federal,Disco concepto de heavy metal inspirado en la corriente japonesa  Visual kei - j'rock,disco concepto heavy metal inspirado corriente japonesa visual kei jrock,"['concepto', 'visual kei']",16868,15000,14,Música
842,Renovación Vagón Escuela Primaria (Wagon Classroom Renewal) (Canceled),Victor Romero,Cancelado,Mexico,El nuevo interior de este viejo vagón de tren será un mejor salón de clases para los niños que estudian en esta primaria de México.,nuevo interior viejo vagón tren mejor salón clases niños estudian primaria méxico,"['interior', 'estudian primaria']",16720,290000,14,Diseño
843,Saldrá el Sol. VIDEO,Guimel Romero,Exitoso,Baja California,Voy a hacer el vídeo musical de mi nuevo material Saldrá el Sol que pondrá de buenas hasta a la taquillera mas malhumorada del metro.,voy hacer vídeo musical nuevo material saldrá sol pondrá buenas taquillera mas malhumorada metro,"['hacer', 'mas malhumorada']",16050,15420,14,Cine y video
844,E.M.C. (Es Mera Coincidencia) (It's Just a Coincidence),David Fernandez Patiño,Fallido,Baja California,"A new Mexican Web Series, intrinsically set in Guadalajara. 
Una nueva serie web mexicana, ambientada intrinsicamente en Guadalajara.",new mexican web series intrinsically set guadalajara nueva serie web mexicana ambientada intrinsicamente guadalajara,"['web series', 'guadalajara', 'serie']",12228,250000,14,Cine y video
845,Los Bastardos de Sor Juana: El HueyCoyote One-Man-Band (LP),El HueyCoyote,Fallido,Distrito Federal,Un disco como hombre-banda que fusiona música electrónica y ritmos latinos para hablar de la diversidad y la libertad de expresión.,disco hombrebanda fusiona música electrónica ritmos latinos hablar diversidad libertad expresión,"['libertad', 'hombrebanda fusiona']",7988,60500,14,Música
846,Las dos caras del espejo,Paulina Quiroz,Fallido,Baja California,"Cortometraje sobre la transexualidad masculina, desde la perspectiva de Ana, una chica que vive encerrada en una crisis de identidad.",cortometraje transexualidad masculina perspectiva ana chica vive encerrada crisis identidad,"['crisis', 'transexualidad masculina']",7650,80000,14,Cine y video
847,Soñé una ciudad amurallada,Alan Uribe Villarruel,Fallido,Distrito Federal,"Somos... Podemos... Amamos... Nuestra muralla, nuestra utopía. Que el amor sea el límite",podemos amamos muralla utopía amor límite,"['amamos', 'utopia amor']",5800,50000,14,Teatro
848,Maté al Profesor. Miniserie de comedia negra.,Fer Jaramillo,Fallido,Distrito Federal,"""Hay cosas peores que tener clase de 7""\r
Una estudiante mata accidentalmente a su profesor de teatro y ahora debe ocultar el cadáver.",cosas peores tener clase 7r estudiante mata accidentalmente profesor teatro ahora debe ocultar cadáver,"['peores tener', 'mata']",5700,30000,14,Cine y video
849,Phænicia shortfilm,Alberto Ordáz (deleted),Fallido,Puebla,"Cortometraje de thriller psicológico que aborda temáticas de bullying, rechazo social, despertar sexual y el primer amor",cortometraje thriller psicológico aborda temáticas bullying rechazo social despertar sexual primer amor,"['thriller', 'sexual primer']",5119,66000,14,Cine y video
850,Aprende a Ligar de Verdad,Cristopher Corral Cruz,Fallido,Distrito Federal,Cursos en vivo de ligue y seducción que te ayudarán a desarrollar tus habilidades sociales.,cursos vivo ligue seducción ayudarán desarrollar habilidades sociales,"['habilidades', 'vivo ligue']",4334,29900,14,Editorial
851,Uno con el viento,Carlos Enrique Arjona Fuentes,Fallido,Quintana Roo,"Tres amigos de la infancia que se reencuentran  años después.\r
Three childhood friends that meet again years after.",tres amigos infancia reencuentran años despuésr three childhood friends meet years,"['friends meet', 'amigos']",3074,45000,14,Cine y video
852,Memories (Álbum),Aroe Wans,Exitoso,San Luis Potosi,Se busca el apoyo para poder lograr el álbum de Aroe Wans,busca apoyo poder lograr álbum aroe wans,"['apoyo', 'album aroe']",2000,2000,14,Música
853,P de Perras: Capítulo 1,Luis E. Méndez,Exitoso,Mexico,"Tras el asesinato de su novio, Michelle recibe una propuesta para tomar justicia por sus propias manos.",tras asesinato novio michelle recibe propuesta tomar justicia propias manos,"['propias', 'asesinato novio']",33000,33000,13,Cine y video
854,Catálogo y Video de Olinalá | Olinalá's Catalogue & Video,Loty Rueda,Exitoso,Tamaulipas,"Hermoso catálogo y video de artesanía de Olinalá |
Nice looking catalogue & video of Olinalá's craftmanship",hermoso catálogo video artesanía olinalá nice looking catalogue video olinalás craftmanship,"['olinala', 'olinalas', 'catalogo video']",29003,25600,13,Artesanía
855,COLLADO EP,Alberto Collado,Exitoso,Distrito Federal,"EP de 5 canciones: Grabación, maquila, distribución y venta, descarga en Spotify, venta en iTunes y demás plataformas digitales",ep canciones grabación maquila distribución venta descarga spotify venta itunes demás plataformas digitales,"['venta', 'grabacion', 'plataformas']",27581,25000,13,Música
856,Fritzl Agonista,Alejandra Aguilar,Exitoso,Distrito Federal,Es una propuesta escénica que indaga sobre la problemática social del abuso infantil.,propuesta escénica indaga problemática social abuso infantil,"['escenica', 'social abuso']",26000,25000,13,Teatro
857,CORTOMETRAJE - VIGILIA EN EL ALMACÉN / WAREHOUSE WATCH,Roberto Patrón,Exitoso,Aguascalientes,Cortometraje de egreso de la segunda generación de la carrera de Artes Cinematográficas y Audiovisuales de la UAA,cortometraje egreso segunda generación carrera artes cinematográficas audiovisuales uaa,"['audiovisuales', 'egreso segunda']",20550,20000,13,Cine y video
858,Al Final del Día,María Emilia,Exitoso,Distrito Federal,Cortometraje estudiantil; Olivia sufre una serie de eventos desafortunados que nos llevan a conocer su realidad.,cortometraje estudiantil olivia sufre serie eventos desafortunados llevan conocer realidad,"['estudiantil', 'llevan conocer']",20078,20,13,Cine y video
859,Fábrica de Tacos,Alejandro Espejel,Exitoso,Distrito Federal,"Lets produce the first batch of ""Taco Factory"" tortilla warmer and take them to Design Week Mexico 2017",lets produce first batch taco factory tortilla warmer take design week mexico,"['week', 'tortilla', 'taco']",17000,17000,13,Arte
860,"Cariño, encogí la casa",Biquini Wax EPS,Exitoso,Distrito Federal,"Queremxs construir un shrink ray. Un rayo para encoger la casa de Dr. Bolaños Cacho 34, donde actualmente está ubicado Biquini Wax EPS.",queremxs construir shrink ray rayo encoger casa dr bolaños cacho actualmente ubicado biquini wax eps,"['wax', 'cacho', 'construir']",16728,8000,13,Arte
861,Navojoa y mis Recuerdos,Jesus Manuel Gonzalez,Exitoso,Sonora,Vivir en una ciudad grande te hace apreciar lo que es vivir en un lugar pequeña. Una carta de amor a mis recuerdos de Navojoa.,vivir ciudad grande hace apreciar vivir lugar pequeña carta amor recuerdos navojoa,"['vivir', 'amor recuerdos']",16020,16000,13,Cine y video
862,Monjas: La Congregación de la Rodilla Ensangrentada,Las Puñal,En curso,Distrito Federal,"Espectáculo satírico Drag Queen inspirado en la vida del convento, los votos, la fe y el sueño de ser superestrellas.",espectáculo satírico drag queen inspirado vida convento votos fe sueño ser superestrellas,"['ser', 'satirico', 'convento']",15608,15600,13,Teatro
863,Castillos de Cartón,Luis A. Figueroa Molina,Exitoso,Mexico,A short film about reunion on broken bonds and remembrance.,short film reunion broken bonds remembrance,"['film', 'broken bonds']",15339,13000,13,Cine y video
864,Mexico Creates: Proyecto Aniérika /Aniérika Project,Álvaro Ortiz López - Puwari,Fallido,Nayarit,Grand Huichol Art Mural about the native peoples of America / Gran Mural de Arte Huichol sobre los pueblos originarios de América,grand huichol art mural native peoples america gran mural arte huichol pueblos originarios américa,"['huichol', 'america', 'mural']",10638,1234600,13,Arte
865,Mariamchi Sideralis,Andrés Aguirre Aldeco,En curso,Mexico,"Obra orquestal utilizando música Latinoaméricana, con particular enfoque en México. Influencias de mariachi y música popular y tango.",obra orquestal utilizando música latinoaméricana particular enfoque méxico influencias mariachi música popular tango,"['musica', 'orquestal', 'popular']",8238,185000,13,Música
866,MENEO,Josue Ulises Mares Cervantes,Fallido,Guanajuato,"A multipurpose recipient inspired by Chupícuaro´s culture from the mexican Bajío, capable to contain both liquid and powdery elements.",multipurpose recipient inspired chupícuaros culture mexican bajío capable contain liquid powdery elements,"['recipient', 'liquid powdery']",7660,15000,13,Arte
867,Amor y Libertad,María Daniela Rojas Rodríguez,Fallido,Distrito Federal,"Una novela de Romance, donde Juliette buscará luchar por sus ideales en una época dominada por hombres.",novela romance juliette buscará luchar ideales época dominada hombres,"['dominada', 'romance juliette']",5688,65000,13,Editorial
868,Divenia Comic Style Graphics,Heli Hernandez,Exitoso,Distrito Federal,Divenia is a Comic Style Graphics,divenia comic style graphics,['divenia comic style'],5407,3990,13,Juegos
869,Vibraciones de Amor,Victor Aguilar,Fallido,Baja California,Somos un Duo dedicado a la investigación del uso de las vibraciones para fortalecer el cuerpo y el espíritu.,duo dedicado investigación uso vibraciones fortalecer cuerpo espíritu,"['dedicado', 'fortalecer cuerpo']",5288,70000,13,Música
870,Centro de Aprendizaje Para La Construcción Colectiva,Rural Eco Lab,Fallido,Queretaro de Arteaga,Construcción de espacios comunitarios en un entorno rural para el desarrollo social.,construcción espacios comunitarios entorno rural desarrollo social,"['espacios', 'rural desarrollo']",5068,30000,13,Diseño
871,Pin Estelar: Paquete Viaje Estelar,Héctor Gerardo Reyes Bautista,Fallido,Mexico,Motivar e Inspirar para  hacer del conocimiento y divulgación espacial algo trascendente para la vida diaria.,motivar inspirar hacer conocimiento divulgación espacial trascendente vida diaria,"['inspirar', 'trascendente vida']",4948,12400,13,Diseño
872,Solo un juego,Gaby Vázquez,Fallido,Nuevo Leon,Cortometraje de drama/comedia sobre los límites de las bromas pesadas.,cortometraje dramacomedia límites bromas pesadas,"['dramacomedia', 'limites bromas']",3918,70000,13,Cine y video
873,Ars Guitars. Creators of Legends,Creators of Legends,Fallido,Distrito Federal,"En pro de la clausura internacional de Creators of Legends, se esta poniendo en marcha un concierto masivo de metal.",pro clausura internacional creators legends poniendo marcha concierto masivo metal,"['clausura', 'concierto masivo']",3300,20000,13,Música
874,Cross Destiny ~ Canyon´s Witches,JackD,Fallido,Baja California,Tells the story about 3 magical girls; each one gifted with an elemental prowess as they discover how their lives become intertwined.,tells story magical girls one gifted elemental prowess discover lives become intertwined,"['story magical', 'elemental']",3288,20000,13,Cómic
875,Comic: Dog pound,Jesus Gonzalez Hidalgo,Fallido,Mexico,"Hi, I'm Jesús González, I'm a self-taught artist and I want to launch my first work",hi im jesús gonzález im selftaught artist want launch first work,"['artist want', 'gonzalez']",1878,30000,13,Cómic
876,Sísifo: Historias de Zirahuén,Javier Adrian Palacios Madrigal,Exitoso,Baja California,"Lilith, Sam y Nat comparten el mismo destino. Un destino marcado por la pérdida y el olvido.",lilith sam nat comparten mismo destino destino marcado pérdida olvido,"['destino', 'sam', 'perdida']",70010,70000,12,Cine y video
877,Cortometraje de suspenso Knock Knock,Punto de Giro,Exitoso,Michoacan de Ocampo,"Knock knock es un cortometraje de suspenso,  buscamos tu apoyo para financiar nuestra producción.",knock knock cortometraje suspenso buscamos apoyo financiar producción,['buscamos apoyo financiar'],27450,22000,12,Cine y video
878,Festival Microcajeme: Historias cotidianas de mi gente.,La Biznaga Cartonera,Fallido,Sonora,Libro hecho a mano de microrrelatos de cajemenses sobre la vida cotidiana en este lugar. Una fiesta literaria no convencional.,libro hecho mano microrrelatos cajemenses vida cotidiana lugar fiesta literaria convencional,"['literaria', 'hecho mano']",21258,100000,12,Editorial
879,MAKE 100: 'Four Years in one collection' Limited Edition,Carlos Daniel Couttolenc Lyle,Exitoso,Distrito Federal,"This project is about 4 photos that were taken in a lapse of 4 years, 
each one was the best of the year.",project photos taken lapse years one best year,"['years', 'year', 'photos taken']",20295,15000,12,Fotografía
880,D/V Cortometraje,Giselle Ruiz,Exitoso,Aguascalientes,"“D/V” es un cortometraje sobre la valorización de los momentos, la intransigencia cronológica y las prioridades efímeras.",dv cortometraje valorización momentos intransigencia cronológica prioridades efímeras,"['valorizacion', 'cronologica prioridades']",20033,20000,12,Cine y video
881,Paisajes Eléctricos,Eduardo Córdoba,En curso,Distrito Federal,Una obra de teatro sobre una sociedad de humanos que viven en el espacio y sueñan con viajar a la tierra. ¿Podrán lograrlo?,obra teatro sociedad humanos viven espacio sueñan viajar tierra podrán lograrlo,"['podran', 'teatro sociedad']",15052,29000,12,Teatro
882,Las Cuerdas del Títere,Gerardo Guadarrama Nájera,Exitoso,Distrito Federal,"Entramos a la casa del candidato, sabemos del fraude... evidenciarlo no será suficiente, haremos justicia por nuestra propia mano",entramos casa candidato sabemos fraude evidenciarlo suficiente haremos justicia propia mano,"['casa', 'justicia propia']",15050,15000,12,Cine y video
883,KUAUHTEMOKTZIN,Cristina Betancourt,Fallido,Baja California,Kuauhtemoktzin La Historia Nuestra cuenta la invasión Castellana vista por los ojos del último Tlahtoani Mexica.,kuauhtemoktzin historia cuenta invasión castellana vista ojos último tlahtoani mexica,"['tlahtoani', 'historia cuenta']",14138,200000,12,Cómic
884,"EL OGRITO, VIAJA DE OAXACA A CDMX, AYÚDALO A LOGRARLO!!!",Rosario  O. Sampablo,Exitoso,Oaxaca,"La obra EL OGRITO ha crecido, estamos por presentarnos en el TEATRO LA CAPILLA en CDMX, apoya el teatro Oaxaqueño, contigo es posible!!",obra ogrito crecido presentarnos teatro capilla cdmx apoya teatro oaxaqueño contigo posible,"['teatro', 'ogrito', 'contigo']",13200,13000,12,Teatro
885,BAILANDO LA HISTORIA DE NUESTRO MEXICO,BLANCA VICENCIO,Fallido,Baja California,Somos personas apasionadas por nuestra cultura mexicana y deseamos seguir impulsando el folklor en la frontera mas visitada del mundo.,personas apasionadas cultura mexicana deseamos seguir impulsando folklor frontera mas visitada mundo,"['apasionadas', 'mas visitada']",12500,50000,12,Arte
886,Curso para cantantes de ópera en Canadá,Ameyali,Exitoso,Baja California,"Hola, somos un par de cantantes de Mexicali que decidieron mudarse a la ciudad de Ensenada y que quieren superarse profesionalmente.",hola par cantantes mexicali decidieron mudarse ciudad ensenada quieren superarse profesionalmente,"['superarse', 'par cantantes']",12472,11000,12,Música
887,Libro: El sistema no quiere que lo leas.,Rodrigo Prior,Fallido,Puebla,"¿Vives tu vida realmente con ideas propias, o has sido programado para pensar de cierta manera?",vives vida realmente ideas propias sido programado pensar cierta manera,"['cierta', 'vida realmente']",12268,220000,12,Editorial
888,Un Funeral en el Fin del Mundo,Arely Olmos,Fallido,Puebla,"""Un Funeral en el Fin del Mundo"" es un proyecto de tesis de UPAEP.",funeral fin mundo proyecto tesis upaep,"['tesis', 'fin mundo']",10968,50000,12,Cine y video
889,COMUNIDADES MAYACA,Lander Calderon Armengod,Exitoso,Yucatan,"APOYO A LAS COMUNIDADES INDÍGENAS MAYA DE YUCATÁN, MÉXICO.",apoyo comunidades indígenas maya yucatán méxico,"['comunidades', 'yucatan', 'indigenas']",10239,1000,12,Artesanía
890,Make 100 Insects and SpaceShips,Bixho Lacs,Exitoso,Jalisco,Extraordinary insects and enigmatic spaceships designed in original and unique illustrations.,extraordinary insects enigmatic spaceships designed original unique illustrations,"['unique', 'insects enigmatic']",10118,10000,12,Arte
891,Real de Amores | Cortometraje,Adrián M. Servién,Fallido,Guanajuato,"Cortometraje de ficción de 16 minutos a realizarse en la ciudad de Celaya, Gto.",cortometraje ficción minutos realizarse ciudad celaya gto,"['ficcion', 'ciudad celaya']",9368,25000,12,Cine y video
892,Celebrando la vida: 50 años caminando por la música.,Luz Haydeé Tiki Bermejo,Fallido,Distrito Federal,Concierto único que recorre la trayectoria de la cantante Luz Bermejo con reconocidos artistas nacionales e internacionales.,concierto único recorre trayectoria cantante luz bermejo reconocidos artistas nacionales internacionales,"['nacionales', 'unico recorre']",9098,40000,12,Música
893,Make/100 Adentro Photography Zine,Aldo Iram Juárez,Exitoso,Distrito Federal,A photography zine by Aldo Iram Juárez. Help and get the first print-run.,photography zine aldo iram juárez help get first printrun,"['juarez', 'zine aldo']",9036,9000,12,Editorial
894,Sir KO - La vida es un acto no premeditado,Gerardo Trejoluna,Fallido,Distrito Federal,Un espectáculo interdisciplinario que pone en crisis lo prescindible o no de la presencia física del actor para que el teatro suceda.,espectáculo interdisciplinario pone crisis prescindible presencia física actor teatro suceda,"['interdisciplinario', 'actor teatro']",9000,200000,12,Arte
895,Don Victor. Cortometraje,Punto Blanco Producciones,Exitoso,Distrito Federal,"El cortometraje narra la historia de un anciano que regresa a su terreno, lugar que él construyó y lo hizo feliz.",cortometraje narra historia anciano regresa terreno lugar construyó hizo feliz,"['narra', 'construyo hizo']",8600,7000,12,Cine y video
896,Tablets to Create Comics,Bere Weillschmidt,Exitoso,Baja California,Help us get graphic tablets to start working on comics and illustrations for you!,help us get graphic tablets start working comics illustrations,"['comics', 'tablets start']",8195,7500,12,Arte
897,Música por la educación ambiental,Eduardo,Fallido,Baja California,STROMA tiene la intención de divulgar la conservación del planeta a traves de la música.,stroma intención divulgar conservación planeta traves música,"['intencion', 'planeta traves']",7888,55600,12,Música
898,Queen Of Ink,Yuki Maeno,Exitoso,Distrito Federal,Proyecto impreso con ilustraciones de Inktober 2019,proyecto impreso ilustraciones inktober,['proyecto impreso ilustraciones'],7771,4500,12,Arte
899,Estudios universitarios en The New School (New York) (Canceled),Carolina Mercado,Cancelado,Baja California,Apoyo para pagar los gastos administrativos y manutención  por el primer año escolar.,apoyo pagar gastos administrativos manutención primer año escolar,"['ano', 'pagar', 'primer']",7480,80000,12,Música
900,La Pajarería,José Luis y Gabriela,Fallido,Guanajuato,"Pajareras, comederos y bebederos para aves en libertad, elaborados en cerámica y decoradas por artesanos mexicanos.",pajareras comederos bebederos aves libertad elaborados cerámica decoradas artesanos mexicanos,"['artesanos', 'comederos bebederos']",7448,65400,12,Artesanía
901,LAS HILANDERAS Y LA MUERTE,BORDERLINE TEATRO,Fallido,Distrito Federal,Las hilanderas y la muerte es un proyecto teatral dirigido a niños y adultos. Con esta obra hablaremos de la muerte y las despedidas.,hilanderas muerte proyecto teatral dirigido niños adultos obra hablaremos muerte despedidas,"['muerte', 'ninos', 'dirigido']",6100,33000,12,Teatro
902,Libro Colaborativo de Emprendimiento Social,Darinel Herrera,Fallido,Baja California,"Las historias de éxito del emprendimiento social en México, una hoja de ruta para futuros emprendedores sociales.",historias éxito emprendimiento social méxico hoja ruta futuros emprendedores sociales,"['sociales', 'exito emprendimiento social']",5900,180000,12,Editorial
903,Primer Torneo Regional de Acariciamiento de Perritos,Meraki Creative Lab,Fallido,Baja California,Este es el primer gran torneo de acariciado de perritos en donde estarán compitiendo los más grandes exponentes de este hermoso deporte,primer gran torneo acariciado perritos compitiendo grandes exponentes hermoso deporte,"['gran', 'exponentes hermoso']",3668,100000,12,Teatro
904,Camino Adentro (Canceled),Omar Yñigo,Cancelado,Baja California,Camino Adentro es una película que será realizada por una comunidad de cineastas independientes de Tijuana.,camino adentro película realizada comunidad cineastas independientes tijuana,"['adentro', 'cineastas independientes']",3050,200000,12,Cine y video
905,Exposición Arte Estudiantil Prepa Don Bosco Emiliano Zapata,Michelle Albarrán,Fallido,Morelos,"Para la realización de expo de 2do, 4to y 6to semestre de Expresión y Apreciación Artística de Preparatoria Don Bosco E. Zapata.",realización expo 2do 4to 6to semestre expresión apreciación artística preparatoria bosco zapata,"['expresion', 'preparatoria bosco']",2470,4000,12,Arte
906,Cat Code: An Hybrid 1st-3rd Person Survival Horror Videogame,Andrea Elizabeth,Exitoso,Distrito Federal,Cat Code is an Hybrid 3rd-1st Person Survival Horror taking place in the Late 90's for PC and Console.,cat code hybrid 3rd1st person survival horror taking place late 90s pc console,"['code', 'survival', 'place']",2398,1990,12,Juegos
