,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1287,EL FUMIGADOR,EL fumigador,Argentina,Largometraje realizado por estudiantes de Diseño de Imagen y Sonido de la Universidad de Buenos Aires.,2783,34,11200,216,Cine y video
1288,"60 FOTOS DE ""EL 60""",COLECTIVO FOTOGRÁFICO EL 60,Argentina,"Llevar a cabo la primera muestra del Colectivo Fotográfico ""El 60"" en el Centro Cultural Borges.",5065,34,4000,20,Artes visuales
1289,CORTO SIN CULPAR A NADIE,Juan Buzzelli,Argentina,"Beto, llega a la fiesta con un arma decidido a matar a su jefe, pero las cosas no se darán como el espera.",1127,34,5100,8,Cine y video
1290,NOTAS DE LA CALLE,Ramiro Lago,Chile,Notas de la Calle es un proyecto de serie web sobre músicos callejeros alrededor del mundo. Queremos filmar el piloto para la 1er temporada.,39784,34,5600,31,Música
1291,MUESTRA DE CINE DE COMEDIA,mexfaliero,Argentina,"Segunda edición de la Muestra Internacional - Funcinema, que se realizará del 24 al 27 de septiembre en el Museo MAR de Mar del Plata.",556,34,2500,9,Cine y video
1292,PREDICADORES,leisonis,Argentina,"Cortometraje sobre la cacería de tres ladrones varios años después de un robo, a realizarse por estudiantes de cine de Buenos Aires.",2810,34,4000,16,Cine y video
1293,SEGÚN AMELIA,mlm,Argentina,"¿Hasta donde te puede llevar el miedo a una pérdida? Cortometraje tesis de la carrera de Diseño de Imagen y Sonido, UBA.",3350,34,5300,21,Cine y video
1294,CHARCO,Cool du Monde,Argentina,"“Charco” es un film sobre la música del Río de la Plata con más de 70 músicos (Fito Páez, Santaolalla, Drexler, Fattoruso y muchísimos más)",28137,34,24300,184,Cine y video
1295,HIJOS DE NADIE,Panza Films,Argentina,"""Hijos de Nadie"" narra la historia de una de las bandas que renovó la escena músical del under de Buenos Aires: Los Adolfos Rap",9003,34,2600,27,Cine y video
1296,EL VERANO QUE TE VIMOS - FILM,Tomás Roldán,Argentina,Te necesitamos a VOS para finalizar la POSTPRODUCCIÓN de nuestra película. Ayudanos y formá parte de esta increíble historia!,8513,34,2800,25,Cine y video
1297,JUAN SEREN Y LOS PÚA ABAJO,Juan Seren y Los Púa Abajo,Argentina,"Estamos grabando nuestro nuevo disco;""Tango sin reservas"". Para finalizarlo, necesitamos de tu ayuda.",6748,34,8400,85,Música
1298,EL NIÑO AZUL DE MIGUEL REP,Editorial Azul,Argentina,"NECESITAMOS TU AYUDA PARA PUBLICARLO: ""El niño Azul en el campus da poesía"", por Miguel Rep.",6781,34,8200,45,Editorial
1299,EDICIÓN DE MI SEGUNDO DISCO,Agostina Elzegbe,Argentina,"Quisiera que el arte viva en el mundo como vive en mi vida. Este disco es mi granito de arena, un pedacito de mi ser, gran parte de mi alma.",1846,34,5300,19,Música
1300,ANGIE CASARES - DISCO DEBUT,casares.angie,Argentina,Estamos en la recta final de este feliz proyecto y necesitamos tu ayuda para poder concretarlo!,9036,34,1400,43,Música
1301,DELTA - NUEVO DISCO,Benjamín Lechuga González,Chile,"Buscamos lanzar nuestro sexto disco de estudio junto a nuestra nueva cantante Paula, contemplando Música, Video clip y Libro de tablaturas.",48821,34,6000,71,Música
1302,"DON LAYO, ÁLBUM DEBUT",Don layo,Argentina,"Don Layo, es un proyecto musical instrumental, que tiene como fin recrear el repertorio folklórico argentino con una estetica sonora única.",2224,34,9300,41,Música
1303,REVISTA YO SOY,Cecilia Martínez Ruppel,Argentina,"YO SOY, revista del taller de Periodismo de YoNoFui, organización que trabaja con mujeres privadas de libertad y ya liberadas.",4860,34,8400,44,Editorial
1304,PERDONAME POR AYER,Vísperas,Argentina,Una sala de espera de un hospital público. Dos seres solitarios que cruzan sus caminos. La primera obra de la compañía Vísperas.,2958,34,4300,26,Artes escénicas
1305,DISCO DE LEO GARZÓN GRUPO,Leo Garzón,Argentina,"Queremos contar con tu colaboración para lograr editar un Disco Compacto.""Nuestra Verdad"" canciones propias de música Argentina",8677,33,5700,54,Música
1306,PRIMER DISCO BREN COLL,Bren coll,Argentina,El proyecto independiente de la solista hoy se encuentra en pre producción de la mano de la Productora Marian Pellegrino.,4641,33,8000,38,Música
1307,QUIERO SABER XQ ME DEJASTE,quiero!,Argentina,"Si dejaste a alguien, o alguien te dejó, vas a entender qué es lo que nos mueve para hacer este corto!",1639,33,14600,25,Cine y video
1308,PÁRAMO,Páramo,Argentina,Necesitamos tu colaboración para masterizar y fabricar 1000 copias de nuestro próximo disco “La Nación de la Manzanas”.,5392,33,6100,53,Música
1309,2DO ALBUM DE SINCAPOT,Sincapot,Argentina,"Con tu ayuda vamos a financiar la mezcla, mastering, lanzamiento y presentación oficial de nuestro próximo disco. Elegí tu recompensa!",4361,33,5100,41,Música
1310,MÚSICA POR ZANON - LA PELÍCULA,Música por Zanon,Argentina,Hacemos un documental sobre el apoyo artístico a la lucha de los obreros de la Fábrica Sin Patrones en Argentina. Necesitamos tu ayuda.,16226,33,7300,67,Cine y video
1311,¡AYUDANOS A ARMAR LA ORQUESTA!,FUNDACION ISLA MACIEL,Argentina,Queremos crear la Orquesta infanto juvenil de Isla Maciel. Esta iniciativa apunta a lograr inclusión social a través de la música.,17696,33,13300,103,Música
1312,FERNANDO ROSSINI / NUEVO DISCO,Fernando Rossini,Argentina,"Ya en la etapa final del segundo disco, y con tu aporte podremos fabricarlo en formato físico!",4412,33,3000,31,Música
1313,DENSIDAD 7850,Denise Koziura,Argentina,Participación en libro fotográfico colectivo.,3268,33,1100,13,Artes visuales
1314,SER LUTHIER - DOCUMENTAL,victoria77,Argentina,Un recorrido por talleres de los artesanos de la música. Descubriendo a las personas detrás del oficio de ser luthier.,4314,33,10200,51,Cine y video
1315,BAILA COMO QUIERAS,Colectivo Gamera,Chile,Un espacio para bailar libre junto a personas de todas las edades,14300,33,4600,17,Artes escénicas
1316,¡¡ESTRENAR EN CORRAL AJENO!!,En Corral Ajeno,Argentina,"Espectáculo teatral protagonizado por Mijal Katzowicz, con dramaturgia y dirección de Soledad Manes.",2322,33,6000,222,Artes escénicas
1317,LA CALLE - RAFAEL CALVIÑO,Plata Negra Ediciones,Argentina,Libro de fotografías de Rafael Calviño con prólogo de Horacio González,19559,33,5100,71,Editorial
1318,CORTOMETRAJE MORTIS: DANTE,Arcano IV,Chile,"""DANTE"" es un cortometraje adaptado de la novela gráfica In Absentia Mortis, Producido por Arcano IV producciones.",11440,33,7200,12,Cine y video
1319,FATUM,Mano a Mano,Argentina,Miniserie Argentina,4297,32,8900,21,Cine y video
1320,FAVIO: CRÓNICA DE UN DIRECTOR,Producciones2t,Argentina,"Narrar la pasión, la memoria.",3766,32,10800,24,Cine y video
1321,7 SEMANAS,Valentina Roblero Arellano,Chile,"7 Semanas es un largometraje que cuenta la historia de Camila, una joven estudiante de Danza, quién está embarazada y decide abortar.",15158,32,6800,14,Cine y video
1322,CAER DEL TIEMPO,Ian Quintana,Argentina,"Cortometraje sobre la fugacidad de la existencia, sobre el devenir de los momentos y sobre cómo cada gota de agua se diluye en el Tiempo.",2655,32,4900,17,Cine y video
1323,CAMARERAS MUSICALES,Pablo Murphy Figueroa,Argentina,Un musical para toda la familia que nos enseña el valor de la amistad y a creer en nuestros sueños.,1046,32,2000,11,Artes escénicas
1324,LA VIDA A CUENTAGOTAS LIBROS,Marcia,Argentina,"La vida a cuentagotas es mi sueño por cumplir, por eso necesito que te unas, te doy mi voz, mi mirada y espero que vuelvas en palabras",7206,32,27000,39,Editorial
1325,¡AMISTAD A NUEVA YORK!,Tarix Sepulveda,Chile,Necesitamos tu ayuda para viajar a Nueva York a exhibir nuestras publicaciones con jóvenes artistas y escritores en el NY Art Book Fair,22909,32,8700,72,Editorial
1326,ANDANDO Y SOÑANDO,rome96,Argentina,"Una charla entre corazones, una incitación a renacer, una apología de los sueños, un viaje sin regreso… quedan lugares, yo invito... ¿venís?",1291,32,2500,24,Editorial
1327,BRUNDIBÁR,maxnordau,Argentina,La representación de Brundibár apunta a mantener viva la memoria del Holocausto.,3170,32,3100,14,Artes escénicas
1328,DE MIS OJOS A LOS TUYOS,Andrea Ch Almazán,México,Pequeños Jardines a cambio de la operación para mis ojos,32600,32,2400,25,Artes visuales
1329,PAN Y CIRCO,Adriana Sánchez,México,"Documental que muestra la vida detrás de escena de los artistas que conforman los circos; sus dificultades, oportunidades y sacrificios",1300,32,572,2,Cine y video
1330,MITOLOGÍA,Orangutanes de Borneo,Chile,Mitología es un proyecto de investigación y creación escénica en torno a la existencia de una agrupación teatral croata a comienzos del s XX,9152,32,807,6,Artes escénicas
1331,SOEMA MONTENEGRO. TERCER CD.,Soema Montenegro,Argentina,Soema Montenegro grabó su tercer disco y necesita tu colaboración para poder presentarlo en sociedad.,2681,32,8200,43,Música
1332,GRAMONAUTAS PRIMER DISCO,gramonautas,Argentina,"Estamos terminando el proceso de grabación de nuestro primer disco de larga duración, para lo cual pedimos tu participación y ayuda!",3059,32,5600,132,Música
1333,ALE TORRIGGINO + ONCE GUITARS,gonzaloesteybar,Argentina,"Buscamos colaboración para poder editar dos nuevos discos de estos dos artistas, de forma independiente. Ayudanos a cumplir el objetivo!",3203,32,4300,23,Música
1334,VIAJE A CONGRESO EN ESPAÑA,Paul Wegmann,Brasil,El proyecto tiene por objetivo levantar fondos para viajar a España a presentar un artículo que ha sido aceptado en un congreso.,9099,32,1200,8,Música
1335,PARTE DE LA NADA | FER ROMERO,F E R R O M E R O,Argentina,SEGUNDO DISCO SOLISTA DEL MÚSICO Y COMPOSITOR FER ROMERO. LO MANDAMOS A EDITAR Y LLEGA A TUS MANOS,4824,32,6300,47,Música
1336,1º CD ENRIQUE HUERTA QUINTETO,Enrique Huerta,Uruguay,"Primer CD ""Cuestión de tiempo"" Con tu colaboración realizaremos el arte gráfico y los CDs. Se parte y recuerda que vuelve todo lo que das..",6429,32,5400,6,Música
1337,LA DESGRACIA BANDA SONORA,Enrique Jauregui,Argentina,La desgracia llegó!!! y necesitamos tu ayuda para poder materializar la grabación de nuestra banda de sonido. Gracias por acompañarnos!!!,10670,32,3400,45,Música
1338,TAN LEJOS DEL SUELO,La Marmita,Uruguay,"Tan lejos del suelo es el el segundo disco de La Marmita. Con viento en la camiseta, la banda está armando un album mucho más rockero.",17447,32,3300,45,Música
1339,LA GENTE ANDA DICIENDO 2,Bureau de Juegos,Argentina,Llega el libro 2 de La Gente Anda Diciendo y en este Ideame lo vas a poder comprar a un precio especial.,5183,31,26200,87,Editorial
1340,LIBRO DE ''LA LLAVE'',Ramiro GM,Argentina,"Tomo unitario de una historia llena de acción y aventuras del creador de ""mosquito mutante"" en compañía de la liga del fanzine",1529,31,2500,16,Editorial
1341,LA JUGUERA MAGAZINE,Alejandra Delgado,Chile,"Campaña para financiar las próximas ediciones de LA JUGUERA MAGAZINE, revista cultural impresa de distribución gratuita hecha en Valparaíso",29859,31,14600,65,Editorial
1342,JUAN ARABEL - VIDEO CLIP,Juan Arabel,Argentina,"Hola! Soy Juan Arabel y hago música Argentina. Con mi banda Necesitamos de TU COLABORACIÓN para terminar de filmar nuestro video, GRACIAS!",824,31,2500,13,Cine y video
1343,ATÁVICA DOCUMENTAL,cinedisidente,Chile,"Atávica es una película etnográfica-experimental filmada en la Cuenca de Los Choros, en el norte semiárido de Chile.",31661,31,5800,29,Cine y video
1344,LARGOMETRAJE MALA JUNTA,Pablo Greene,Chile,"Largometraje de ficción ""Mala junta"", dirigido por Claudia Huaiquimilla y ganador de ""Mejor Guión en Desarrollo"" en el 20ª FICValdivia",44474,31,24300,42,Cine y video
1345,¡MATCH POINT!,Matchpoint,Argentina,"Match Point es un cortometraje de animación 3D, tesis de la carrera Diseño de Imagen&Sonido.",7092,31,3100,29,Cine y video
1346,COLABORÁ CON NUESTROS PASAJES,NOVUS CORPUS DANCE - CO,Argentina,NECESITAMOS RECAUDAR LA TOTALIDAD DEL DINERO PARA ADQUIRIR NUESTROS PASAJES AL FESTIVAL DE DANZA CONTEMPORÁNEA DE CÓRDOBA.,359,31,4000,8,Artes escénicas
1347,"""DONDE DUERMEN LOS GRILLOS""",Bolsas en el viento,Argentina,"Somos un grupo de artistas formados en actuación y clown, con años de experiencia en la escena teatral argentina.",2026,31,2700,18,Artes escénicas
1348,"""DETRÁS DE LA CORDILLERA"".",Jennifer Alegría,Chile,"Primer montaje de la compañía DanzaJam. REESTRENO ENERO 2017. Festival Int. Santiago Off - Festival de Teatro y Artes Escénicas, Recoleta.",8094,31,2700,11,Artes escénicas
1349,CUARTA PARED,Cuarta Pared,Colombia,Un proyecto de comunicación digital para la difusión de las artes escénicas,3602,30,4500,12,Editorial
1350,QUE VUELVA LA REVISTA OBJETO,Dadá Mini,Argentina,"7 años, 24 ediciones y esta revista de arte vuelve a sus mejores épocas a precio súper especial de preventa para los amigos de Dadá Mini™",5273,30,14700,54,Editorial
1351,¡UNA COMPU PARA FUNÁMBULOS!,Revista Funámbulos,Argentina,Nuestra computadora no quiere más y nosotros queremos seguir haciendo la revista con mayor trayectoria de la escena teatral. ¿Nos ayudás?,2980,30,6800,95,Editorial
1352,PUTAS - PILOTO DE SERIE DE TV,Putas La Serie,Chile,"Chile, 2011. Movimiento estudiantil. Cinco estudiantes. Un liceo de hombres. El nacimiento del primer colectivo de secundarios homosexuales.",8580,30,10300,12,Cine y video
1353,"""BIENVENIDOS A FHERMO""",Porelpuente Creaciones Asrtísticas,Argentina,"Una nueva propuesta musical para toda la familia, llena de color y excéntricos seres, en un mundo donde aprenderemos desde la imaginación.",980,30,2900,1,Artes escénicas
1354,POLUCION-DIÁLOGOS CON LEMEBEL,Polucion,Argentina,Montaje experimental que deviene lenguajes que crean un puente entre nosotros y el artista chileno Pedro Lemebel.,1667,30,2100,15,Artes escénicas
1355,MISIÓN DE ESTRELLAS Y PIRATAS.,latribu,Argentina,"Queremos cumplir un sueño, buscamos financiación para hacer dos obras musicales infantiles en vacaciones de invierno.",3944,30,7300,17,Artes escénicas
1356,"ESTRENO ""LAS MIL Y UNA NOCHES""",libertablas,Argentina,"¡Festejamos los 40 años del Grupo Libertablas, con una nueva puesta de “Las mil y una noches”, el éxito más grande de nuestra historia!",19608,30,12600,67,Artes escénicas
1357,CABO VERDE ESPECTÁCULO TEATRAL,Obra Cabo Verde,Argentina,Una vidriera de los años 20 en Argentina. Una lucha por escapar del sometimiento de la autoridad. Un laboratorio y un niño como experimento.,9052,30,1400,41,Artes escénicas
1358,LA BALLENA FRANCA AUSTRAL,Kevin Zaouali,Argentina,Desde Lyra Films queremos crear un cortometraje lleno de vida sobre la Ballena Franca Austral en la costa patagónica de Argentina.,4918,30,5500,19,Cine y video
1359,10 VISTAS - CORTOMETRAJE,Coronel Mostaza,Argentina,"""10 Vistas"" es un cortometraje en el que hay 10 vistas. En ellas, no pasa otra cosa más que lo que pasa.",490,30,3200,6,Cine y video
1360,ITROFILL MONGEN - DOCUMENTAL,Diego Olivos,Chile,El documental busca mostrar el impacto que ha traído la industria forestal y la resistencia del bosque nativo en el sur de Chile,22094,30,4800,19,Cine y video
1361,QUÉ ES LO QUE QUEDA DE UNO,Ian Quintana,Argentina,Proyecto documental que reflexionará sobre el paso del tiempo y la memoria a través de la historia de Francisco Art. Lissa.,9036,30,3000,23,Cine y video
1362,"""FÉMINAS"" DE GABRIEL GAVILA",GabrielGavila,Argentina,"Un happening del mundo femenino en el que la protagonista, buscará conquistar sus sueños: ser una gran actriz y por sobre todo, ser feliz.",4739,29,1100,24,Artes escénicas
1363,MALOS PASOS DOWNHILL SUR,Recmobil,Chile,"Ocho de los mejores exponentes del DownHill en Chile dando curso a este documental, unidos por la montaña, la bicicleta y el miedo.",29888,29,16800,26,Cine y video
1364,LA KLANDESTINA EN BUENOS AIRES,Diego Urtubia Bravo,Chile,Murga La Klandestina se presenta por primera vez en Buenos Aires en el contexto del 5to encuentro de murgas el 21 y 22 de septiembre.,16874,29,2000,26,Artes escénicas
1365,¡ALTO EL JUEGO!,Walter Tournier,Uruguay,"Animación en stop motion de Walter Tournier, sobre los niños víctimas de los conflictos bélicos",71931,29,18600,45,Cine y video
1366,MÁS HISTORIAS PARA LEER EN EL BAÑO,Gonzalo Geller,Argentina,"Edición de un libro en papel, de microrrelatos ilustrado. Relatos de humor, absurdos, ambientados en el baño.",874,29,8200,22,Editorial
1367,I / OMHAZAC,Mestizas,Argentina,"Es una Obra / Performance de danza contemporánea y ecología, que incorpora lenguaje visual inspirada en el bio sistema del Paraná.",2980,29,2300,30,Artes escénicas
1368,TEATRO MOVIL MAGDALENA,Emiliano Ortiz,Chile,"Teatro Móvil Magdalena un carromato itinerante, diseñado en los noventa por el artista belga Herbert Jonckers. AYUDANOS A RESTAURARLO.",8266,29,4000,13,Artes escénicas
1369,EL AMOR CONTRA LA MUERTE,Buena Vida Productora,Argentina,El amor contra la muerte es un cortometraje independiente. Nos encontramos en la etapa de postproducción y necesitamos de tu ayuda.,1536,29,3100,17,Cine y video
1370,EXPOSICIÓN PORTFOLIOFADU 2015,Diego Z.,Argentina,Un grupo dedicado a la fotografía de la FADU presenta su tercera exposición con una selección de fotos de La Noche de Los Museos 2014.,487,29,4600,131,Diseño
1371,LA MANADA,Mariel Leite Escobar,Argentina,"En vísperas de un casamiento, la familia de Ana se junta a comer un asado. Afuera hay viento. La carne no se cocina. La manada espera.",1454,29,2200,14,Cine y video
1372,RITA LA SALVAJE,Revista META,Argentina,"Cortometraje sobre Rita, drag legendaria de la noche de Buenos Aires.",3824,29,2300,27,Cine y video
1373,TONTO EL LIBRO DE PMF,Bureau de Juegos,Argentina,Tonto es el libro de Perdone mi francés que es lo que queríamos poner en el título pero no nos entraba porque tenía máximo de 30 caracteres,3919,29,11100,162,Editorial
1374,VIAJE AL CHILE PREHISTÓRICO,Carmen Gloria Ramos,Chile,El libro donde los dinosaurios cobran vida... Resérvalo para navidad,72217,29,9800,72,Editorial
1375,"""DISTOPIA: ARGENTIA"" EP1 !",distopiaok,Argentina,Ayudanos a terminar el Episodio 1 de ésta serie que conjuga sci-fi y una estética innovadora. Colabora y sumate a #aventuraDistopia2017,948,29,2400,5,Cine y video
1376,EL LUGAR AL QUE LLEGO,El lugar al que llego,Chile,“El lugar al que llego” es un documental sobre el sabio chileno Gastón Soublette.,82942,29,5700,61,Cine y video
1377,MALÓN,Kei Lúa,Argentina,MALÓN es una película transmedia que imagina la vida de los habitantes de un conventillo de un futuro Buenos Aires.,3317,29,7200,20,Cine y video
1378,EL CORRAL,Ceibo Cine,Argentina,Un pueblo. Una subasta. Cientos de bebés en juego. Una mujer que intenta escapar de las manos de las grandes corporaciones.,4673,28,2600,29,Cine y video
1379,CATALEPSIA,Catalepsia,Chile,Gabriel busca morir en un mundo donde la muerte es imposible. ¡Ayudanos a hacer realidad nuestro cortometraje de egreso!,4433,28,2500,4,Cine y video
1380,PROYECTO COOPERATIVA CARANCHO,Soria,Argentina,Carancho es una cooperativa de teatro musical experimental. Estamos en el proceso de montaje de una obra que surgió de improvisaciones.,931,28,3300,15,Artes escénicas
1381,CINE EN LA ISLA,FECISLA,Colombia,TERCERA VERSIÓN DEL FESTIVAL INTERNACIONAL CINE EN LA ISLA DEL 23 AL 28 DE ENERO DE 2017,17047,28,26100,60,Cine y video
1382,SUENA LUZ,Nataliamb,Argentina,"Una historia que contempla distintas formas del amor, que combina actores en vivo, animación y música.",3301,28,3900,14,Cine y video
1383,AFTER OFFICE,Sebas Rodriguez,Argentina,"AFTER OFFICE es un cortometraje dirigido por SEBASTIAN RODRIGUEZ y protagonizado por Esteban Meloni, Edgardo Castro y Juan Manuel Rodil.",2353,28,4000,13,Cine y video
1384,TAIPEI «EL TIEMPO ES TIRANO»,Taipei Cortometraje,Argentina,Cortometraje ficcional basado en el cómic homónimo del autor argentino Pablo Tambuscio de hasta 10 minutos de duración.,3775,28,3500,23,Cine y video
1385,FRENIA,Alejandra Martínez,México,¿Qué pasaría si en un pequeño pueblo de México algo desconocido los ataca? – Serie - Piloto // Proyecto de Titulación,20100,28,2400,11,Cine y video
1386,"NUESTRAS LUCHAS, EL ENCUENTRO",Colectiva Audiovisual Feminista,Argentina,"Largometraje documental sobre el 34° Encuentro Plurinacional de mujeres, lesbianas, travestis, trans, bisexuales y no binaries en La Plata",9232,28,3200,43,Cine y video
1387,PARA ELENA - CORTOMETRAJE,julietaaristegui,Argentina,Buscamos financiación para realizar nuestra tesis universitaria de la carrera de dirección audiovisual a rodarse entre diciembre y enero.,8497,28,2100,29,Cine y video
1388,CORTOMETRAJE CRISIS,Daniel Riquelme Cortés,Chile,Proyecto de cortometraje de ficción a realizar por alumnos de diplomado de la Escuela de Cine de Chile,2860,28,971,5,Cine y video
1389,ARCHIVO CONTRATIEMPO,Gabrieldanza,Argentina,Pequeños diálogos sobre el flamenco. Es la historia del flamenco registrado en la Revista Contratiempo entre 1997 a 2007.,2109,28,6500,15,Editorial
1390,PROYECTO GARAGE,Michelle Wejcman,Argentina,Obra de teatro de Andrés Binetti con dirección de Michelle Wejcman. Una experiencia teatral y musical en un garage de Villa Crespo.,2745,28,4300,13,Artes escénicas
1391,SUPERMARKET,Emerson Velásquez,Chile,"Supermarket, Anatomía Escénica del Ritmo y su Descomposición, es una obra que pone en valor elementos del videoclip aplicados a la escena.",9781,28,3500,19,Artes escénicas
1392,MATEN AL MENSAJERO (REVISTA),Santiago Federico Kahn,Argentina,Nos gusta decir que hacemos una revista para lectores. Un medio donde las historias fluyen en diferentes formatos.,4709,28,20400,232,Editorial
1393,LA TELEVISIÓN DESDE ABAJO,Natalia Vinelli,Argentina,"Busco apoyo para financiar la impresión de mi libro ""La televisión desde abajo. Historia, debates y periodismo de contrainformación"".",3203,28,8900,41,Editorial
1394,LAS PARADOJAS DE PHILIP RED,Julián Marcel,Argentina,¡Ayúdame a que esta novela policial salga a la luz! El libro quiere estar contigo porque cree que podés ser parte de la novela.,657,28,4200,23,Editorial
1395,CINE CON VOS EN TODOS LADOS!,burro,Argentina,"Somos ilustradores, nos encanta el cine y decidimos hacer cuadros, bolsas y remeras para que lleves a tus cineastas favoritos a todos lados!",1127,28,5100,7,Diseño
1396,ANA,melina martos,Argentina,"Cortometraje independiente escrito y producido por estudiantes de la carrera de Diseño de Imagen y Sonido (FADU, UBA)",735,28,8000,9,Cine y video
1397,EL IMPERIO DE LOS TECNOPERONES,mjapaz,Argentina,"Obtenga un ejemplar autografiado de ""El Imperio de los Tecnoperones"" y sumérjase en la Argentina post-apocalíptica",3010,27,8400,39,Editorial
1398,DEBAJO DE LAS PIEDRAS,Andreachauvet,México,"La naturaleza se encuentra libre al final de los edificios, al principio de la ciudad y debajo de las piedras.",13650,27,3600,10,Artes visuales
1399,NO CANTA MI VIOLÍN,Rodrigo Jimenez,Chile,No Canta mi Violín: Producción chilena de cine independiente que aborda el dolor y la injusticia humana.,14157,27,6400,11,Artes visuales
1400,PROYECTO ANTOFAGASTA,ProyectoAntofagasta,Argentina,Nuestro proyecto consiste en una obra de carácter instalativo que sera llevada a cabo en remotos desiertos de la provincia de Catamarca,1510,27,7000,372,Artes visuales
1401,EL PELIGRO ESTÁ EN LOS VIVOS,José Luis Visconti,Argentina,Un análisis sobre las películas argentinas producidas durante la dictadura 1976-1983,1092,27,2600,28,Editorial
1402,FAMOUDOU KONATE KING OF DJEMBE,André Piruka,Brasil,"Famoudou Konate, maestro de djembe cumple 80 años y produce material inédito sobre su vida y cultura con video lecciones y documentales",84196,27,4600,36,Cine y video
1403,UNA DE AMOR,sericl,Chile,Largometraje chileno,4662,27,2300,18,Cine y video
1404,SUSURROS DEL ÁRBOL,Pierrot Les Films,Argentina,Dicen que algunas tragedias unen más que las buenas noticias.,3121,27,3100,15,Cine y video
1405,LOS TÁBANOS,Joshua Oglio,Argentina,Cortometraje de suspenso seleccionado por la Universidad del Cine para ser realizado en fílmico 35mm. ¡Ayudanos y sé parte!,895,27,2500,9,Cine y video
1406,EL CAMINO REAL,Pablo Emmanuel Ortiz,Argentina,"Cortometraje de terror, realizado por estudiantes de la carrera de Diseño de Imagen y Sonido (UBA).",859,26,4400,244,Cine y video
1407,PSICOFUNGI,Una Productora Seria,Argentina,"Psicofungi es la historia de Sebastián, una persona a la que le diagnostican una rara enfermedad. Él se esta convirtiendo en una planta.",2631,26,1700,11,Cine y video
1408,OTRA VENTANA * 4TA EDICIÓN,Otra Ventana,Argentina,Otra Ventana es un encuentro de cine independiente que se realiza hace 4 años en la ciudad de La Plata. Colaborá en esta nueva edición!,1879,26,2800,12,Cine y video
1409,OJOS AZUL PÁLIDO,noir.films,Argentina,Cortometraje de Ciencia Ficción de la Universidad del Cine sobre un futuro donde la tecnología ahora es parte del cuerpo humano.,1286,26,2600,12,Cine y video
1410,AHI VIENEN - CORTOMETRAJE,ahivienen,Argentina,¡Hola! Somos estudiantes de la Universidad Nacional de Artes y queremos su apoyo para poder darle vida a este proyecto.,1275,26,2600,8,Cine y video
1411,EL JARDÍN DE ATRÁS,Kadavra,Argentina,Cortometraje de terror para proyecto de tesis de la Escuela Provincial de Cine y Televisión de Rosario,2108,26,1900,14,Cine y video
1412,DESLEAL,LA REGINA films,Argentina,"""Desleal"" es un cortometraje de desarrollo del lenguaje cinematográfico, basado en técnicas de cámara y narración similares al ""dogma95"".",1029,26,1300,19,Cine y video
1413,TODOS GANAN NADIE PIERDE,MARCELA GASPERI,Argentina,"Queremos que alumnos de arte puedan participar gratis de la Feria EGGO 2013 en CCR del 5 al 9/9 en el stand 21 de ""espacio pensarconlosojos""",2074,26,7000,45,Artes visuales
1414,QUENEDIT DE CUBA,JC Robles,México,"Una película documental sobre la búsqueda y sacrificio de un hombre por cumplir sus sueños, Carlos Quenedit, bailarín de Ballet Cubano.",20920,26,3200,22,Cine y video
1415,VENI A SER PARTE DE CAMPING!,chamaleona,Argentina,"Seis chicos. Un monoambiente. La ciudad. Un impulso: ""Nos vamos de camping!""",523,26,3200,4,Cine y video
1416,RE ANIMÉ,Diego Biancotto,Argentina,Producción integral de un espectáculo multimedial. Segunda parte de la exitosa YO ANIMÉ.,2598,26,12900,12,Artes visuales
1417,OTRAS PROSAS,gog y magog,Argentina,Cumplimos 10 años y queremos festejarlo lanzando una nueva colección. ¡Necesitamos tu ayuda para poder hacerlo!,4297,26,6700,62,Editorial
1418,INZOMBIO Y RELATOS FANTASMAS,baldiosenlalengua,Argentina,"Ayudanos a publicar este increíble libro que merece estar en las librerías de todo el país. Sumate al equipo de Baldíos, produzcamos cultura",5163,26,1800,43,Editorial
1419,POESÍA FEMENINA INDEPENDIENTE,Victoria de los Ángeles,Chile,"""Juntas y revueltas"" es un poemario escrito por dos autoras chilenas encuadernado a mano. Edición revisada con nuevo prólogo.",4004,26,1400,22,Editorial
1420,EMBELLECIMIENTO URBANO,Ale Contreras,Argentina,Transformación de la vieja panadería abandonada en un gran mural.Con tu ayuda podemos crear un pasaje artísitco para compartir con todos.,345,26,6100,20,Artes visuales
1421,IMPRONTAS CREATIVAS,Carina Borgogno,Argentina,Improntas Creativas: proyecto de exposición de obras de artistas y su recorrido por el proceso de creación.,1879,26,4000,15,Artes visuales
1422,EXPOSICIÓN ESTORNINOS 2016,Pedro Palma Casanova,Chile,"Se trata de hacer una expo a fines del 2016, con un gran cuadro compuesto (ojalá 200 cuadros) donde cada uno retiene ""luminosidad"" del total",11297,26,2500,24,Artes visuales
1423,ESPEJISMO MISMO EN FA2020,cachi,Argentina,Holograma interactivo en nuestra Ciudad Aurea.,3922,26,597,12,Artes visuales
1424,ENCRUCIJADAS,Patricio Nomdedeu,Argentina,"Cortometraje interactivo en donde VOS sos quien decide, constantemente, la acción y el camino a seguir por el protagonista.",2562,26,10300,667,Cine y video
