,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
1430,LOS CUERPOS,Dulcinea,Argentina,"Los Cuerpos es un cortometraje de ficción de alumnos de la FUC, que filmaremos en Diciembre en Bariloche",cuerpos cortometraje ficción alumnos fuc filmaremos diciembre bariloche, cortometraje   diciembre   ficcion ,3353,25,2700,24,Cine y video
1431,CAMINO AL LARGOMETRAJE!,Camino al Largometraje!,Argentina,Treinta personas en una experiencia de creación colectiva: hacer cine. Una producción de Formación en Matienzo,treinta personas experiencia creación colectiva hacer cine producción formación matienzo, formacion   personas experiencia ,3726,25,9200,151,Cine y video
1432,¿TE COMERÍAS A TU PERRO?,Ana María Beltrán,Argentina,"Ayúdanos a filmar nuestro cortometraje ""CARNE DE PERRO"". Guión seleccionado por la Universidad del Cine, Buenos Aires ¡Necesitamos tu apoyo!",ayúdanos filmar cortometraje carne perro guión seleccionado universidad cine buenos aires necesitamos apoyo, filmar   aires necesitamos ,2892,25,7600,19,Cine y video
1433,UN TALLER PARA BAUMM!,baumm,Argentina,"Hacemos mochilas y bolsos reutilizando parapentes en desuso. Queremos remodelar el taller para que sea mas productivo, cómodo y luminoso",hacemos mochilas bolsos reutilizando parapentes desuso queremos remodelar taller productivo cómodo luminoso, comodo   mochilas bolsos ,3310,25,7800,13,Diseño
1434,ATILIN ZAPATOS,Ati,Argentina,"Zapatos artesanales hechos a medida. Estamos en Buenos Aires, ARGENTINA.",zapatos artesanales hechos medida buenos aires argentina, artesanales   buenos aires ,575,25,15000,94,Diseño
1435,TUYO...¡AUNQUE TE RESISTAS!,Di.Vi.Na.,Argentina,Quiero invitarlos a que sean parte de mi sueño: realizar la 2° edición de mi libro TUYO...¡aunque te resistas! - NACIONAL e INTERNACIONAL,quiero invitarlos parte sueño realizar edición libro tuyoaunque resistas nacional internacional, nacional   invitarlos parte ,788,24,4700,14,Editorial
1436,STICKER MESTIZO,Gráfica Mestiza,Colombia,"Ya tenemos listo ""Sticker Mestizo"", el primer libro-álbum latinoamericano de stickers. Ahora necesitamos de TU colaboración para imprimirlo!",listo sticker mestizo primer libroálbum latinoamericano stickers ahora necesitamos colaboración imprimirlo, sticker   stickers   colaboracion   necesitamos ,14892,24,14500,41,Editorial
1437,FRAGMENTOS - CORTOMETRAJE,Gabriel Musco,Argentina,Cortometraje sobre los daños psicologicos que deja una infancia de abusos. Es realizado por alumnos del CIEVYC en formato 16mm B/N.,cortometraje daños psicologicos deja infancia abusos realizado alumnos cievyc formato 16mm bn, cievyc   danos psicologicos ,317,24,7200,67,Cine y video
1438,WAR OF RAGNAROK - EL LIBRO,Alvaro J.R. Meroni,Argentina,"Los héroes de las antiguas sagas nórdicas cruzan sus destinos durante el inicio del Ragnarok, fin del mundo...",héroes antiguas sagas nórdicas cruzan destinos inicio ragnarok fin mundo, fin   antiguas sagas ,2075,24,5100,14,Editorial
1439,PSICOPATEAME,Soledad Fernandez,Argentina,"Un psicópata, un hacker, ciberbullying y las repercusiones en la salud. Y la importancia de la resiliencia.",psicópata hacker ciberbullying repercusiones salud importancia resiliencia, importancia   hacker ciberbullying ,3922,24,2000,19,Editorial
1440,MI BEBE APLV,JoaQuina Serra,Argentina,Este es un libro para quienes tengan un familiar con Alergia a la Proteína de Leche de Vaca (APLV).,libro familiar alergia proteína leche vaca aplv, familiar   leche vaca ,4167,24,2000,11,Editorial
1441,FESTIROCK DEL 95`- DOCUMENTAL,Fabio Mascioli,Argentina,En un pueblo conservador y tradicionalista surge un movimiento de punk-rock liderado por jóvenes dispuestos a escribir su propia historia.,pueblo conservador tradicionalista surge movimiento punkrock liderado jóvenes dispuestos escribir propia historia, conservador   escribir propia ,3611,24,926,11,Cine y video
1442,EL PORTADOR DEL FUEGO,matias,Argentina,luego de nuestra primer película Diallelos tenemos una nueva aventura de ciencia ficción para seguir soñando con el cine.,luego primer película diallelos nueva aventura ciencia ficción seguir soñando cine, sonando   primer   pelicula ,2418,24,912,10,Cine y video
1443,PROYECTO ISLA,ProyectoIsla,Argentina,Somos dos estudiantes de Diseño de Imagen y Sonido (FADU – UBA). ISLA es nuestra video-instalación y tesis final de la carrera.,estudiantes diseño imagen sonido fadu uba isla videoinstalación tesis final carrera, diseno   tesis final ,2386,24,823,9,Cine y video
1444,QUIÉN FUE PEDRO?,Nomade Films,Argentina,Largometraje en donde todos improvisan menos su director.,largometraje improvisan menos director, largometraje improvisan menos ,17566,24,3800,32,Cine y video
1445,CIUDAD DE POBRES CORAZONES,Federico Tavera,Argentina,"Un policial que combina elementos de cómics, historias de detectives, alegorías a lo más bajo de nuestra sociedad, filmado en la Patagonia",policial combina elementos cómics historias detectives alegorías bajo sociedad filmado patagonia, filmado   combina elementos ,4771,24,4700,24,Cine y video
1446,INSTINTAS,Instintas,Argentina,Cortometraje estilo fashion film a realizarse en noviembre de 2017 por la compañía La Chancha y la dirección de Sebastian Zayas,cortometraje estilo fashion film realizarse noviembre compañía chancha dirección sebastian zayas, estilo   direccion sebastian ,3137,24,2600,33,Cine y video
1447,HOMBRE COLIBRÍ- LARGOMETRAJE,Hombre Colibrí,Argentina,"Hombre Colibrí es una película cordobesa filmada en 2016. De genero drama con tintes de suspenso, aborda la arquitectura y espiritualidad.",hombre colibrí película cordobesa filmada genero drama tintes suspenso aborda arquitectura espiritualidad, colibri   aborda arquitectura ,3954,24,6700,18,Cine y video
1448,YA NO,María Angélica Gil,Uruguay,"""Ya No"" es un cortometraje de ficción en estado de desarrollo inspirado en el poema de Idea Vilariño.",cortometraje ficción desarrollo inspirado poema idea vilariño, idea   ficcion desarrollo ,11845,24,6800,18,Cine y video
1449,PERRO NEGRO (DOCUMENTAL),Perro Negro,Argentina,Perro Negro hace alusión al mito folclórico del Luisón. Es un documental que buscará retratar la manifestación del mismo en Paraguay.,perro negro hace alusión mito folclórico luisón documental buscará retratar manifestación mismo paraguay, negro   manifestacion mismo ,2320,24,6700,19,Cine y video
1450,QUINIELA,Julia Portanier,Argentina,¿Terapia yo? ¡Ni muerta! Mejor me juego una partidita de Chinchón.,terapia muerta mejor juego partidita chinchón, partidita   muerta mejor ,2284,24,7400,243,Cine y video
1451,REVISTA MUSICACLASICABA,MusicaClasica BA,Argentina,"Revista dedicada a la actualidad de la música clásica en Buenos Aires y alrededores. Notas, entrevistas, agenda, guía musical y mucho más!",revista dedicada actualidad música clásica buenos aires alrededores notas entrevistas agenda guía musical, guia   dedicada   agenda ,5219,24,10400,235,Editorial
1452,65 HORAS EN EL VACIO,VALKIRIA PRODUCTORA,Argentina,"Película sobre la hazaña de Santy Schefer, tras haber batido el récord Guinness con 65 horas al aire transmitiendo su programa de radio.",película hazaña santy schefer tras haber batido récord guinness horas aire transmitiendo programa radio, hazana   transmitiendo programa ,4882,24,12400,22,Cine y video
1453,GALERÍA DE ARTE MÓVIL,Espora Gestión de arte,Argentina,Con MicroEspora Galería de Arte Móvil sacamos el arte a la calle. Necesitamos nuestra propia casa rodante... ¡Ayudanos a seguir andando!,microespora galería arte móvil sacamos arte calle necesitamos propia casa rodante ayudanos seguir andando, arte   ayudanos seguir ,7271,24,16600,34,Artes visuales
1454,"""AMA Y HAZ LO QUE QUIERAS""",GRUPO TRAZA,Argentina,"Somos un grupo de Diseñadores de Imagen y Sonido que desea terminar su operaprima. ""Ama y haz lo que quieras"" es un largometraje documental.",grupo diseñadores imagen sonido desea terminar operaprima ama haz quieras largometraje documental, largometraje   disenadores imagen ,6307,24,6000,41,Artes visuales
1455,LA ISLA EN EL CIELO,FAR,Uruguay,"Soy un artista que trabaja con azulejos de colores de 2.5cmX2.5cm hace dos anos. Estoy en vías de comenzar mi mas grande proyecto, un mural",artista trabaja azulejos colores 25cmx25cm hace anos vías comenzar grande proyecto mural, trabaja azulejos colores ,640,24,3100,7,Diseño
1456,UN DESTELLO QUE ILUMINA UNA ESCENA,Sabrina Passalia,Argentina,"Realización de una muestra en el Jardín Botánico de Bs. As., de un cuerpo de obras dedicado a la naturaleza y su contemplación.",realización muestra jardín botánico bs cuerpo obras dedicado naturaleza contemplación, muestra   jardin   obras ,239,24,4400,7,Artes visuales
1457,ELLA VENDRA,Ella Vendrá,Argentina,"BsAs, verano, años 90. La asfixia de un monoambiente. Ana espera. Imágenes de lo vivido recorren el espacio evidenciando el paso del tiempo.",bsas verano años asfixia monoambiente ana espera imágenes vivido recorren espacio evidenciando paso tiempo, verano   evidenciando paso ,1569,24,5900,12,Cine y video
1458,"PALABRELÍOS, LA SERIE.",Los Monovocálicos,Argentina,"PalabreLÍOS es una serie web para chicos,que va a disfrutar toda la familia. Sus protagonistas, Clara, Fede y Lolo, son MONOVOCÁLICOS.",palabrelíos serie web chicosque va disfrutar toda familia protagonistas clara fede lolo monovocálicos, serie web   toda ,4980,23,8000,40,Cine y video
1459,GHIERRA INTENDENTE,Ghierra Intendente,Uruguay,"Alfredo Ghierra está obsesionado con la ciudad. Con su equipo de notables, proponen proyectos inspirados para la Montevideo que queremos.",alfredo ghierra obsesionado ciudad equipo notables proponen proyectos inspirados montevideo queremos, ghierra   inspirados montevideo ,45955,23,18800,81,Artes visuales
1460,ESTIGMA DISCRETO,Estigma Discreto,Argentina,"Un Desorden necesario en la memoria emocional, pidiendo a gritos organización de los Patrones genéticos, en nuestra naturaleza afectiva.",desorden necesario memoria emocional pidiendo gritos organización patrones genéticos naturaleza afectiva, necesario   geneticos naturaleza ,1144,23,789,12,Cine y video
1461,"TAICHÍ, POESÍA Y ZOMBIES",DiegoMMF,Argentina,"Te presentamos una lectura diferente, enriquecedora y creativa... sea novela, ensayo o poesía.",presentamos lectura diferente enriquecedora creativa novela ensayo poesía, ensayo   lectura diferente ,6157,23,2000,23,Editorial
1462,RE-EVOLUCIÓN MILLENNIAL,Martín Traverso,Argentina,"Un libro de +300 páginas basado sobre la generación Millennial, cuenta también con historias de Millennials de diferentes partes del mundo.",libro páginas basado generación millennial cuenta historias millennials diferentes partes mundo, millennial   millennials   paginas   partes ,7812,23,11200,50,Editorial
1463,"PUBLIQUEMOS ""SETENTA Y DOS""",Fernando JimFier,México,"Te invito a ser parte de la publicación de ""Setenta y Dos"". La editorial Rodrigo Porrúa quiere distribuirlo, falta pagar la impresión.",invito ser parte publicación setenta editorial rodrigo porrúa quiere distribuirlo falta pagar impresión, pagar   ser parte ,16500,23,2700,17,Editorial
1464,LA TIERRA QUE ARDE,Pablo Perez Fiedler,Argentina,Documental de investigación sobre los motivos ocultos detrás de los incendios de los últimos años en la Patagonia Argentina.,documental investigación motivos ocultos detrás incendios últimos años patagonia argentina, investigacion   anos patagonia ,3611,23,2900,16,Cine y video
1465,LOSOTRO-REVISTA,Losotro,Argentina,Los de afuera somos nosotros. Una revista.Mostramos lo que queda en la periferia y que tiene lugar.En la pluralidad y fuera de toda norma.,afuera revistamostramos queda periferia lugaren pluralidad toda norma, revistamostramos   pluralidad toda ,2157,23,3600,16,Editorial
1466,¿PROTEGEMOS NUESTRA INFANCIA?,shcespedes,Chile,"Libro digital respecto a la Explotación Sexual Comercial en Niños, Niñas y Adolescente de la Región de Coquimbo, Chile.",libro digital respecto explotación sexual comercial niños niñas adolescente región coquimbo chile, coquimbo   digital respecto ,2717,23,2500,4,Editorial
1467,ENAGUAS,Fabulandia,Argentina,Instalación Coreográfica Museo Nacional de la Historia del Traje,instalación coreográfica museo nacional historia traje, coreografica   nacional historia ,752,23,6800,9,Diseño
1468,SUSANA ENTONCES MARIO,Lateral Teatro,Uruguay,"Una obra que explora el significado del amor y de la realidad, investigando la relación sentimental entre una mujer y un robot.",obra explora significado amor realidad investigando relación sentimental mujer robot, mujer   explora significado ,7150,22,1800,18,Artes escénicas
1469,EL CREPÚSCULO DE LAS CABRAS,Diego De Zela,Argentina,"Ayúdame a publicar mi primer libro de ensayo filosófico sobre la libertad, el amor, educación y filosofía.",ayúdame publicar primer libro ensayo filosófico libertad amor educación filosofía, educacion   publicar   amor ,1520,22,893,8,Editorial
1470,VALPARAÍSO EN 100 PALABRAS,Fundación Plagio,Chile,Concurso de cuentos breves que invita a escribir relatos en un máximo 100 palabras sobre la vida en la región de Valparaíso,concurso cuentos breves invita escribir relatos máximo palabras vida región valparaíso, region   cuentos breves ,70529,22,11400,33,Editorial
1471,CINE DE PAPEL,paola dragonetti,Argentina,"Cine sin pantalla. Flipbooks, libritos animados.",cine pantalla flipbooks libritos animados, pantalla flipbooks libritos ,3742,22,7600,45,Editorial
1472,"ANIMALES: ESPEJOS, MAESTROS Y",VeroKenigstein,Argentina,Un libro que recopila las historias de la magia de la sanación que ocurre en el encuentro de amor genuino entre animales y humanos.,libro recopila historias magia sanación ocurre encuentro amor genuino animales humanos, recopila   genuino animales ,7435,22,5400,30,Editorial
1473,SEGUNDO DISCO ARTE DE EPN TRIO,E.P.N. Trio,Argentina,"Queremos editar nuestro 2do Disco-Arte en el que homenajeamos a Bjork, E.S.T., Radiohead, Gismonti, Tom Waits, Spinetta, entre otros.",queremos editar 2do discoarte homenajeamos bjork est radiohead gismonti tom waits spinetta, waits   homenajeamos bjork ,727,22,6300,19,Editorial
1474,EXPO CEMENTERIOS DE CHILE,Malvaro,Chile,"Hola, somos Álvaro y Marcos. Ayúdanos a montar la exposición fotográfica de nuestro segundo trabajo sobre los cementerios de Chile.",hola álvaro marcos ayúdanos montar exposición fotográfica segundo trabajo cementerios chile, alvaro   trabajo cementerios ,12012,22,1900,15,Artes visuales
1475,CLUB HEM DE LECTORES,Club Hem,Argentina,"Queremos reforzar el vínculo entre los autores y los lectores, mediante la planificación colectiva de los catálogos de narrativa y poesía.",queremos reforzar vínculo autores lectores mediante planificación colectiva catálogos narrativa poesía, reforzar   narrativa   vinculo ,5490,22,7300,57,Editorial
1476,FINANCIACIÓN GIRA 2018,Ayekan Circo Social,Argentina,Ayúdanos a financiar la puesta a punto de La Chancha para poder salir con ella a la ruta y... ¡¡seguir regando de sonrisas nuestro país!!,ayúdanos financiar puesta punto chancha poder salir ruta seguir regando sonrisas país, financiar   regando sonrisas ,2190,22,1600,11,Artes escénicas
1477,MONTAJE OBRA CAMPO DE BATALLA,Valentina Durán,Chile,"La obra se llama ""Campo de Batalla. Las Ruinas de Estocolmo""",obra llama campo batalla ruinas estocolmo, ruinas   llama campo ,12584,22,6500,27,Artes escénicas
1478,VACÍOS,PaulaRendon,Colombia,El cine es nuestra forma de vida. Buscamos con “Vacíos” crear un espejo para el espectador y un espacio de experimentación con la vida misma,cine forma vida buscamos vacíos crear espejo espectador espacio experimentación vida misma, forma vida   espejo ,6141,22,9200,19,Artes visuales
1479,"""LÍMITES DIFUSOS"" EN MÉXICO.",Paola Andrea Gamboa Jiménez,Chile,"Hola!!! Somos la Compañía de Artes Escénicas La Ortopedia de Valparaíso, Chile y realizaremos una gira en México!!! Necesitamos tu ayuda!!",hola compañía artes escénicas ortopedia valparaíso chile realizaremos gira méxico necesitamos ayuda, necesitamos   compania artes ,9581,22,1400,25,Artes escénicas
1480,EN BUSQUEDA DE LA CARAVANA,Casa Berlin,Argentina,Somos realizadoras de espacios y diseñadoras de objetos. Buscamos tener nuestra propia caravana para asi montar nuestro taller movil.,realizadoras espacios diseñadoras objetos buscamos tener propia caravana asi montar taller movil, espacios   montar taller ,2190,22,10100,28,Diseño
1481,¡SÉ PARTE DE AQUELARRE!,Vanesa O Toole,Argentina,¿Nos ayudás a republicar La isla del Fuego y a lanzar La isla de la Tierra? Son los volúmenes 1 y 2 de la saga fantástica AQUELARRE.,ayudás republicar isla fuego lanzar isla tierra volúmenes saga fantástica aquelarre, isla   fantastica   saga ,2222,22,7200,21,Editorial
1482,DECISIÓN CORRECTA,mcbilleta.ladecisioncorrecta,Chile,"El músico MC BILLETA ha sido SECUESTRADO, impidiendo su actuación en Lollapalooza y de paso el final de nuestro DOCUMENTAL!",músico mc billeta sido secuestrado impidiendo actuación lollapalooza paso final documental, final   sido secuestrado ,25998,22,9200,48,Cine y video
1483,LA CARNICERIA,MANZANA PODRIDA,Argentina,"Buenos Aires 2023, los hospitales han sido reemplazados por carnicerías. Es la implementación de un inadmisible sistema aceptado por todos.",buenos aires hospitales sido reemplazados carnicerías implementación inadmisible sistema aceptado, sistema   aires hospitales ,2974,22,4600,20,Cine y video
1484,ALVARO IZURIETA,julio,Argentina,Retrato del artista plástico cordobes Alvaro Izurieta. Su historia de vida y un repaso por las diversas etapas de su producción artistica.,retrato artista plástico cordobes alvaro izurieta historia vida repaso diversas etapas producción artistica, artista   produccion   plastico ,18660,22,3000,23,Cine y video
1485,EL HOMBRE DE LA NARIZ ROTA,Auguste Rodin,Argentina,Somos un grupo de teatro independiente que quiere llevar a cabo una obra teatral sobre los escultores Auguste Rodin y Camille Claudel.,grupo teatro independiente quiere llevar cabo obra teatral escultores auguste rodin camille claudel, teatro   rodin camille ,1029,21,4000,11,Artes escénicas
1486,PROYECTO POSTALES,Picnic,Argentina,¿Te acordás de la alegría de recibir postales y cartas en tu buzón? Un Playmobil + una foto = una imagen de Bs As de excusa para sorprender.,acordás alegría recibir postales cartas buzón playmobil foto imagen bs excusa sorprender, alegria   playmobil foto ,4766,21,14400,40,Artes visuales
1487,A PURO TONOCOTÉ!,Catalina Agudin,Argentina,"tonocoté son zapatos elaborados con chaguar, trabajado por las mujeres wichis en el marco del comercio justo. Tu par, único.",tonocoté zapatos elaborados chaguar trabajado mujeres wichis marco comercio justo par único, par   zapatos elaborados ,4461,21,5300,12,Diseño
1488,"CORTOMETRAJE ""TRES VALIJAS""",franzettilara,Argentina,"Tres Valijas es un cortometraje con personajes aventureros, valijas, mapas, idiomas extranjeros, aviones y viajes a Ezeiza.",tres valijas cortometraje personajes aventureros valijas mapas idiomas extranjeros aviones viajes ezeiza, valijas   aviones viajes ,1373,21,3800,16,Cine y video
1489,CAZA DE PLATA,BombitaProds,Argentina,"Tres rateros de poca monta, deciden apostarlo todo en un último golpe: robar un cuadro de las manos de una aparentemente indefensa anciana.",tres rateros poca monta deciden apostarlo último golpe robar cuadro manos aparentemente indefensa anciana, rateros   aparentemente indefensa ,5654,21,4900,39,Cine y video
1490,MIS AMIGAS Y YO -PELÍCULA-,Belén Paladino,Argentina,Mediometraje en proceso de rodaje. Proyecto de tesis de la Universidad Nacional de las Artes.,mediometraje proceso rodaje proyecto tesis universidad nacional artes, proceso   universidad nacional ,2141,21,2900,13,Cine y video
1491,'GERMINAR' - CORTOMETRAJE 2019,Liquen Filma,Chile,Cortometraje distopica de temáticas socio-ambiental.,cortometraje distopica temáticas socioambiental, distopica   socioambiental ,6006,21,1700,10,Cine y video
1492,LA BUENA MOZA -DEMENTES (2017),Murga La Buena Moza,Argentina,"Estamos terminando de montar el nuevo espectáculo y necesitamos tu ayuda para invertir en vestuarios, utilería, maquillaje, escenografía,etc",terminando montar nuevo espectáculo necesitamos ayuda invertir vestuarios utilería maquillaje escenografíaetc, maquillaje   montar nuevo ,7056,21,7800,65,Artes escénicas
1493,QUÉ NOCHE DE CASAMIENTO!!!,Quenoche,Argentina,"Necesitamos tu colaboración para poder concretar, disfrutar, compartir y difundir esta hermosa obra que es QUE NOCHE DE CASAMIENTO!!!.",necesitamos colaboración poder concretar disfrutar compartir difundir hermosa obra noche casamiento, colaboracion   obra noche ,2843,21,10800,19,Artes escénicas
1494,ENTRE DOS Y LAS SÁBANAS,arianal,Argentina,"Pocas veces una relación entre tres personas suele funcionar, pero ¿Y si a la hora de decidir entre dos, es la vida la que decide?",pocas veces relación tres personas suele funcionar si hora decidir vida decide, decidir vida   suele ,2108,21,5800,17,Cine y video
1495,CROWDFUNDING LA PELICULA,Matias Payer,Argentina,UN ARTISTA QUE SE LE PROHIBE HACER CINE. UNA PELÍCULA IMPOSIBLE DE PRODUCIRSE. UN SISTEMA QUE PARECE SER LA SOLUCIÓN.,artista prohibe hacer cine película imposible producirse sistema parece ser solución, prohibe   parece ser ,1974,21,7800,26,Artes visuales
1496,CAJAS CHINAS,pppujol,Argentina,"Primera novela de Pablo Pujol, que será editada por Malisia. Participá de la venta anticipada y ayudanos con el financiamiento del proyecto.",primera novela pablo pujol editada malisia participá venta anticipada ayudanos financiamiento proyecto, financiamiento   novela pablo ,2412,21,2000,21,Editorial
1497,LIBRO/ RITOS AL RAS DEL FUTURO,Los Ojos de Anita,Argentina,Este fotolibro es un intercambio de miradas sobre los hijos del 2001 desde el presente donde palabras e imagenes interactuan,fotolibro intercambio miradas hijos presente palabras imagenes interactuan, intercambio   palabras imagenes ,2124,21,3600,29,Editorial
1498,VERDE MELODÍA- CORTOMETRAJE,pauzotta,Argentina,"Somos estudiantes de Diseño de Imagen y Sonido en FADU, UBA. Estamos haciendo el corto final de diseño I.",estudiantes diseño imagen sonido fadu uba haciendo corto final diseño, diseno   uba haciendo ,392,21,1800,5,Cine y video
1499,MONOAMBIENTE,Caro Barbosa,Argentina,"Obra teatral independiente. Ayudanos a hacerla posible. Un ambiente, dos habitantes, tres personajes. Un clima enrarecido y desopilante.",obra teatral independiente ayudanos hacerla posible ambiente habitantes tres personajes clima enrarecido desopilante, teatral   clima enrarecido ,3056,21,3200,12,Artes escénicas
1500,EUFORIA Y DESEO,María Eugenia Heyaca,Argentina,Somos gente de teatro con muchas ganas de hacer una obra sobre Shakespeare de la que hablen todos y por eso necesitamos tu ayuda!,gente teatro muchas ganas hacer obra shakespeare hablen necesitamos ayuda, teatro   hablen necesitamos ,690,21,4600,80,Artes escénicas
1501,"DE MOÑOS, QUÉ SHOW!",nachoiri,Argentina,Un delirio de buen gusto en donde el humor y la música son protagonistas.,delirio buen gusto humor música protagonistas, musica   buen   humor ,964,21,2700,10,Artes escénicas
1502,BOXEADOR,Patricio Ventura-Juncá,Chile,"Finalizar montaje del Boxeador, obra que rescata elementos peculiares de nuestra identidad con puesta en escena cercana al teatro de calle.",finalizar montaje boxeador obra rescata elementos peculiares identidad puesta escena cercana teatro calle, teatro   montaje boxeador ,7493,21,3800,12,Artes escénicas
1503,RAYÜN- BELLEZA SILVESTRE,Rayun,Chile,Entregamos belleza silvestre originaria de Chile concentrando la mejor calidad natural para tu piel,entregamos belleza silvestre originaria chile concentrando mejor calidad natural piel, belleza   calidad natural ,29430,20,11700,37,Diseño
1504,DESENLACES,Gnomo Errante,Argentina,"Desenlaces es el primer tomo de la colección Sinergia. Un compendio de relatos sobre la comunicación, las relaciones y el desamor.",desenlaces primer tomo colección sinergia compendio relatos comunicación relaciones desamor, primer   comunicacion relaciones ,1660,20,1300,6,Editorial
1505,LIBRO SOBRE LA RUTA 40,tiempolibro,Argentina,"Queremos editar el libro de nuestra crónica de viaje en familia por la ruta 40. 18.620 km llenos de magia, historias, humor y encuentros...",queremos editar libro crónica viaje familia ruta km llenos magia historias humor encuentros, magia historias humor ,15033,20,5100,81,Editorial
1506,LIBRO MANDALAS FLORES DE BACH,Marce Rio,Chile,"He creado un método de sanación con mandalas de flores de Bach, que será publicado por editorial Española y distribuido a latinoamérica.",creado método sanación mandalas flores bach publicado editorial española distribuido latinoamérica, metodo   espanola distribuido ,8866,20,2400,4,Editorial
1507,ENSAYOS DE DIBUJO,ensayosdedibujo,Colombia,Ensayos de Dibujo es un libro que recopila los dibujos y diálogos entre 10 dibujantes Colombianos.,ensayos dibujo libro recopila dibujos diálogos dibujantes colombianos, dibujo   dibujos   dialogos dibujantes ,7233,20,12700,15,Editorial
1508,MOCHILAS JUNGLA QUIERE CRECER,laurita yeacamon,Argentina,"Mochilas Jungla quiere ampliar su producción, crear su web y consolidar una estructura fluida en los canales de venta y entrega.",mochilas jungla quiere ampliar producción crear web consolidar estructura fluida canales venta entrega, venta   jungla quiere ,5245,20,13400,25,Diseño
1509,LOS OJOS LLOROSOS,losojosllorosos,Argentina,"La película cuenta el viaje de Alice, un joven periodista, que debe decidir si comienza o no el tratamiento contra el Hiv-sida.",película cuenta viaje alice joven periodista debe decidir si comienza tratamiento hivsida, tratamiento   cuenta   debe ,5458,20,6400,15,Cine y video
1510,REVISTA CULTRA CUMPLE 2 AÑOS,Mijebner,Argentina,"A partir de ahora, queremos que la revista salga con el doble de páginas y lomo. Nuestro segundo aniversario es la oportunidad perfecta.",partir ahora queremos revista salga doble páginas lomo segundo aniversario oportunidad perfecta, oportunidad   ahora queremos ,3801,20,16600,77,Diseño
1511,GRANADA Y AL PARAISO,Rocio Gort,Argentina,"Sobrevivir en una ciudad saturada, o dejar que todo explote. Largometraje independiente; Resta completar Postproducción y lanzamiento.",sobrevivir ciudad saturada dejar explote largometraje independiente resta completar postproducción lanzamiento, postproduccion   ciudad saturada ,2726,20,10700,23,Cine y video
1512,IEMANJÁ: NUESTRA GRAN MADRE,Dario La Vega,Argentina,"El documental se propone rescatar la historia de la fiesta, su enraizamiento en la ciudad costera y las diversas instancias de su desarrollo",documental propone rescatar historia fiesta enraizamiento ciudad costera diversas instancias desarrollo, instancias   propone rescatar ,1229,20,7500,11,Cine y video
1513,ENTRE CRISTALES,NahuelTrack,Argentina,El primer documental argentino sobre la Piel de Cristal (Epidermolisis Bullosa) una enfermedad poco frecuente y muy agresiva.,primer documental argentino piel cristal epidermolisis bullosa enfermedad frecuente agresiva, documental   enfermedad frecuente ,1637,20,7700,53,Cine y video
1514,"OF BRIDGES & BORDERS, VOL. II",KBB,Argentina,"Ed. limitada especial de Of Bridges & Borders (vol. I y II), proyecto realizado en colaboración con Ai Weiwei- firmada y numerada // 2014",ed limitada especial bridges borders vol ii proyecto realizado colaboración ai weiwei firmada numerada, firmada   realizado   especial ,3333,20,4100,7,Editorial
1515,VIAJE AL GIFFONI FILM FESTIVAL,Clara Suárez,Argentina,"Nos invitaron al Festival de Cine para Niños y Adolescentes de Giffoni, Italia. Somos 3 adolescentes y la profesora del Taller de Cine",invitaron festival cine niños adolescentes giffoni italia adolescentes profesora taller cine, adolescentes   festival cine ,2353,20,15000,17,Cine y video
1516,CHANCE - CORTOMETRAJE,Lu Alfonzo,Argentina,¿Que pasa cuando seguís pendiente del pasado?,pasa seguís pendiente pasado, seguis pendiente   pasa ,1683,20,2700,3,Cine y video
1517,UN DÍA SOLEADO CORTOMETRAJE,Un dia soleado,Argentina,"Un cortometraje de un médico boliviano en Buenos Aires que es maltratado y estafado por un taxista, quien horas más tarde será su paciente.",cortometraje médico boliviano buenos aires maltratado estafado taxista horas tarde paciente, medico   horas tarde ,662,20,1300,8,Cine y video
1518,EL BALDÍO AGRANDA LA CASA,El Baldío Teatro,Argentina,Somos un grupo de teatro independiente y estamos ampliando nuestra sala y todo el espacio donde se realizan las actividades artísticas,grupo teatro independiente ampliando sala espacio realizan actividades artísticas, actividades   teatro independiente ,16356,20,4800,58,Artes escénicas
1519,SE PARTE DEL DISCO DE SONIA,sonia chammah,Argentina,"El 2do disco de Sonia te necesita para ser terminado. Rock, moderno, mucha produccion, letras reales, intenso y divertido. Me ayudas?",2do disco sonia necesita ser terminado rock moderno mucha produccion letras reales intenso divertido ayudas, sonia   intenso divertido ,1634,20,5900,21,Artes escénicas
1520,¡POR CULPA DE LA NIEVE!,Porculpadelanieve,Argentina,"Por culpa de la nieve, nueva obra del gruposalvaje escrita y dirigida por Alfredo Staffolani, estreno 20 de marzo en el Teatro del Abasto.",culpa nieve nueva obra gruposalvaje escrita dirigida alfredo staffolani estreno marzo teatro abasto, teatro   nieve nueva ,980,20,2700,2,Artes escénicas
1521,SUPER MUNDO,Sol,Argentina,"Una obra de teatro infantil diferente, con un rol activo de los niños, y una finalidad educativa que incentiva el buen uso de la tecnología.",obra teatro infantil diferente rol activo niños finalidad educativa incentiva buen uso tecnología, uso   teatro infantil ,1016,20,5600,54,Artes escénicas
